_id,index,Eid,Cite-By
6752b6fab8b06b06c2118de3,0,2-s2.0-85053164279,11
6752b6fbb8b06b06c2118de4,1,2-s2.0-85049101440,36
6752b6fcb8b06b06c2118de5,2,2-s2.0-85054140369,11
6752b6fdb8b06b06c2118de6,3,2-s2.0-85097515350,0
6752b6feb8b06b06c2118de7,4,2-s2.0-85041527766,14
6752b6ffb8b06b06c2118de8,5,2-s2.0-85053470598,4
6752b700b8b06b06c2118de9,6,2-s2.0-85052134000,4
6752b701b8b06b06c2118dea,7,2-s2.0-85047155505,1
6752b701761fb4b037e3ebb7,8,2-s2.0-85050817664,20
6752b702b8b06b06c2118deb,9,2-s2.0-85044660689,15
6752b702b26569ed431ff02e,10,2-s2.0-85045376379,11
6752b702b8b06b06c2118dec,12,2-s2.0-85059443311,1
6752b703761fb4b037e3ebb8,11,2-s2.0-85054527535,21
6752b703b8b06b06c2118ded,14,2-s2.0-85047007592,12
6752b703b26569ed431ff02f,13,2-s2.0-85020664359,19
6752b704785a5b7ed6cc0292,16,2-s2.0-85060184892,2
6752b704b8b06b06c2118dee,17,2-s2.0-85022177717,35
6752b704b26569ed431ff030,18,2-s2.0-85048387514,3
6752b704761fb4b037e3ebb9,15,2-s2.0-85056927218,12
6752b705785a5b7ed6cc0293,19,2-s2.0-85059951245,4
6752b705b26569ed431ff031,20,2-s2.0-85043236866,42
6752b705b8b06b06c2118def,21,2-s2.0-85039449530,16
6752b705785a5b7ed6cc0294,22,2-s2.0-85053161564,7
6752b705761fb4b037e3ebba,23,2-s2.0-85047618371,41
6752b706b26569ed431ff032,24,2-s2.0-85049207535,11
6752b706b8b06b06c2118df0,26,2-s2.0-85045554892,2
6752b70601d5b4ad1e91915e,25,2-s2.0-85058885422,8
6752b706761fb4b037e3ebbb,27,2-s2.0-85070861352,0
6752b706785a5b7ed6cc0295,28,2-s2.0-85060277158,4
6752b707b8b06b06c2118df1,29,2-s2.0-85054972627,21
6752b70701d5b4ad1e91915f,30,2-s2.0-85038867462,16
6752b707785a5b7ed6cc0296,32,2-s2.0-85049655427,4
6752b707761fb4b037e3ebbc,31,2-s2.0-85144177415,0
6752b708b8b06b06c2118df2,34,2-s2.0-85040547931,37
6752b708b26569ed431ff033,33,2-s2.0-85035088244,15
6752b70801d5b4ad1e919160,35,2-s2.0-85054821288,1
6752b708785a5b7ed6cc0297,36,2-s2.0-85044339398,5
6752b708b26569ed431ff034,38,2-s2.0-85062171866,1
6752b708761fb4b037e3ebbd,39,2-s2.0-85047314220,9
6752b70901d5b4ad1e919161,40,2-s2.0-85048179306,12
6752b709b8b06b06c2118df3,37,2-s2.0-85041748957,35
6752b709b26569ed431ff035,41,2-s2.0-85147713497,0
6752b709761fb4b037e3ebbe,42,2-s2.0-85057601344,2
6752b709785a5b7ed6cc0298,43,2-s2.0-85047167635,45
6752b70a01d5b4ad1e919162,44,2-s2.0-85052331097,1
6752b70ab26569ed431ff036,46,2-s2.0-85049301587,2
6752b70ab8b06b06c2118df4,45,2-s2.0-85042389036,5
6752b70a761fb4b037e3ebbf,47,2-s2.0-85050807596,4
6752b70b785a5b7ed6cc0299,48,2-s2.0-85041495380,61
6752b70b01d5b4ad1e919163,49,2-s2.0-85037621941,13
6752b70bb26569ed431ff037,51,2-s2.0-85045640382,9
6752b70bb8b06b06c2118df5,50,2-s2.0-85057626112,35
