Eid,Subtype,Publish_year,Publish_month
2-s2.0-85053164279,Article,2018,10
2-s2.0-85054140369,Article,2018,12
2-s2.0-85041527766,Article,2018,06
2-s2.0-85053470598,Article,2018,03
2-s2.0-85052134000,Article,2018,08
2-s2.0-85047155505,Article,2018,06
2-s2.0-85050817664,Article,2018,08
2-s2.0-85044660689,Article,2018,04
2-s2.0-85045376379,Article,2018,08
2-s2.0-85054527535,Article,2018,10
2-s2.0-85059443311,Conference Paper,2018,12
2-s2.0-85020664359,Review,2018,05
2-s2.0-85047007592,Article,2018,06
2-s2.0-85060184892,Article,2018,11
2-s2.0-85048387514,Article,2018,09
2-s2.0-85039449530,Article,2018,03
2-s2.0-85053161564,Conference Paper,2018,08
2-s2.0-85047618371,Article,2018,05
2-s2.0-85049207535,Article,2018,03
2-s2.0-85058885422,Article,2018,12
2-s2.0-85045554892,Article,2018,10
2-s2.0-85070861352,Editorial,2018,12
2-s2.0-85060277158,Review,2018,12
2-s2.0-85054972627,Article,2018,10
2-s2.0-85038867462,Article,2018,04
2-s2.0-85144177415,Book Chapter,2018,07
2-s2.0-85049655427,Article,2018,06
2-s2.0-85040547931,Article,2018,01
2-s2.0-85044339398,Article,2018,02
2-s2.0-85041748957,Article,2018,01
2-s2.0-85048179306,Article,2018,10
2-s2.0-85057601344,Article,2018,12
2-s2.0-85047167635,Article,2018,05
2-s2.0-85052331097,Conference Paper,2018,08
2-s2.0-85042389036,Article,2018,03
2-s2.0-85049301587,Article,2018,06
2-s2.0-85050807596,Review,2018,07
2-s2.0-85041495380,Article,2018,04
2-s2.0-85037621941,Article,2018,11
2-s2.0-85057626112,Article,2018,12
2-s2.0-85045640382,Review,2018,04
2-s2.0-85045459881,Note,2018,07
2-s2.0-85056320658,Article,2018,11
2-s2.0-85052737316,Letter,2018,09
2-s2.0-85032511738,Article,2018,01
2-s2.0-85041557278,Article,2018,01
2-s2.0-85052839755,Article,2018,08
2-s2.0-85048495781,Article,2018,03
2-s2.0-85045281768,Article,2018,06
2-s2.0-85042553922,Article,2018,06
2-s2.0-85055049678,Article,2018,12
2-s2.0-85055441994,Article,2018,10
2-s2.0-85052636861,Article,2018,10
2-s2.0-85059461222,Conference Paper,2018,12
2-s2.0-85063205666,Article,2018,10
2-s2.0-85046876678,Article,2018,08
2-s2.0-85043307556,Letter,2018,04
2-s2.0-85047194755,Article,2018,06
2-s2.0-85027562644,Article,2018,01
2-s2.0-85043485030,Article,2018,01
2-s2.0-85039846745,Article,2018,02
2-s2.0-85041139198,Review,2018,01
2-s2.0-85054031311,Conference Paper,2018,03
2-s2.0-85047729577,Article,2018,05
2-s2.0-85058935797,Article,2018,12
2-s2.0-85050968237,Article,2018,10
2-s2.0-85049964164,Review,2018,07
2-s2.0-85057847743,Article,2018,05
2-s2.0-85057520893,Article,2018,09
2-s2.0-85041230497,Article,2018,02
2-s2.0-85047013666,Article,2018,12
2-s2.0-85051208796,Article,2018,09
2-s2.0-85037147132,Article,2018,01
2-s2.0-85041680827,Article,2018,03
2-s2.0-85053778287,Article,2018,11
2-s2.0-85042128317,Article,2018,07
2-s2.0-85048940239,Article,2018,04
2-s2.0-85049118943,Article,2018,08
2-s2.0-85042655838,Article,2018,01
2-s2.0-85048748130,Article,2018,01
2-s2.0-85078338096,Book Chapter,2018,01
2-s2.0-85058680496,Conference Paper,2018,11
2-s2.0-85057616442,Conference Paper,2018,09
2-s2.0-85041960467,Article,2018,02
2-s2.0-85044456392,Article,2018,05
2-s2.0-85066475133,Conference Paper,2018,07
2-s2.0-85074965846,Article,2018,04
2-s2.0-85050155670,Conference Paper,2018,06
2-s2.0-85041861788,Article,2018,05
2-s2.0-85060154185,Article,2018,11
2-s2.0-85022071002,Article,2018,09
2-s2.0-85038014269,Editorial,2018,03
2-s2.0-85058433758,Conference Paper,2018,11
2-s2.0-85026847132,Article,2018,02
2-s2.0-85041720090,Article,2018,03
2-s2.0-85042707817,Article,2018,06
2-s2.0-85055491350,Article,2018,12
2-s2.0-85054410604,Article,2018,10
2-s2.0-85050805351,Letter,2018,07
2-s2.0-85046413510,Article,2018,05
2-s2.0-85041727486,Article,2018,02
2-s2.0-85053335454,Article,2018,09
2-s2.0-85059965712,Conference Paper,2018,11
2-s2.0-85030673725,Article,2018,02
2-s2.0-85030689461,Article,2018,03
2-s2.0-85045043144,Article,2018,09
2-s2.0-85058100356,Article,2018,11
2-s2.0-85050131468,Conference Paper,2018,06
2-s2.0-85045939365,Article,2018,04
2-s2.0-85020815543,Article,2018,08
2-s2.0-85049830878,Conference Paper,2018,01
2-s2.0-85040167175,Article,2018,01
2-s2.0-85047222753,Article,2018,12
2-s2.0-85041811056,Article,2018,02
2-s2.0-85055188449,Article,2018,09
2-s2.0-85047883101,Article,2018,05
2-s2.0-85050130167,Article,2018,07
2-s2.0-85008354493,Article,2018,04
2-s2.0-85049253738,Letter,2018,07
2-s2.0-85044737812,Article,2018,07
2-s2.0-85056065681,Article,2018,11
2-s2.0-85053161886,Article,2018,09
2-s2.0-85042682561,Article,2018,03
2-s2.0-85050377983,Article,2018,09
2-s2.0-85039159576,Article,2018,03
2-s2.0-85048709924,Article,2018,09
2-s2.0-85021300848,Article,2018,01
2-s2.0-85062859793,Article,2018,11
2-s2.0-85049155044,Article,2018,06
2-s2.0-85035331598,Article,2018,05
2-s2.0-85045011508,Article,2018,07
2-s2.0-85047668404,Article,2018,05
2-s2.0-85031812835,Article,2018,02
2-s2.0-85054036077,Article,2018,09
2-s2.0-85068981951,Article,2018,11
2-s2.0-85049863844,Article,2018,03
2-s2.0-85044845660,Letter,2018,06
2-s2.0-85040090503,Article,2018,06
2-s2.0-85053619106,Article,2018,12
2-s2.0-85058903604,Article,2018,10
2-s2.0-85052814087,Article,2018,10
2-s2.0-85034585467,Article,2018,02
2-s2.0-85052472790,Article,2018,12
2-s2.0-85045506137,Article,2018,03
2-s2.0-85051063546,Article,2018,08
2-s2.0-85045208701,Article,2018,04
2-s2.0-85047073581,Article,2018,07
2-s2.0-85057108057,Article,2018,11
2-s2.0-85040841375,Article,2018,01
2-s2.0-85044744207,Article,2018,03
2-s2.0-85052628288,Article,2018,09
2-s2.0-85051180271,Article,2018,12
2-s2.0-85048976221,Article,2018,02
2-s2.0-85059094534,Article,2018,09
2-s2.0-85089568477,Article,2018,05
2-s2.0-85052199402,Article,2018,07
2-s2.0-85076352482,Conference Paper,2018,12
2-s2.0-85019615771,Article,2018,04
2-s2.0-85048749584,Article,2018,07
2-s2.0-85108484985,Book Chapter,2018,07
2-s2.0-85047383489,Article,2018,05
2-s2.0-85023170224,Article,2018,01
2-s2.0-85055862909,Conference Paper,2018,09
2-s2.0-85031821306,Article,2018,01
2-s2.0-85052968790,Article,2018,09
2-s2.0-85042906672,Letter,2018,03
2-s2.0-85040322317,Review,2018,01
2-s2.0-85056625659,Note,2018,11
2-s2.0-85045759869,Article,2018,07
2-s2.0-85039417015,Article,2018,04
2-s2.0-85051677305,Article,2018,07
2-s2.0-85048034863,Conference Paper,2018,05
2-s2.0-85052729319,Article,2018,09
2-s2.0-85042677604,Article,2018,02
2-s2.0-85050662074,Article,2018,12
2-s2.0-85044411323,Article,2018,03
2-s2.0-85028502506,Article,2018,05
2-s2.0-85063423845,Book Chapter,2018,07
2-s2.0-85037972365,Article,2018,04
2-s2.0-85057321973,Data Paper,2018,12
2-s2.0-85010015810,Article,2018,01
2-s2.0-85046530585,Article,2018,10
2-s2.0-85067075989,Article,2018,12
2-s2.0-85056255685,Article,2018,09
2-s2.0-85037527871,Article,2018,01
2-s2.0-85054042373,Book Chapter,2018,05
2-s2.0-84976902133,Article,2018,05
2-s2.0-85033223295,Article,2018,07
2-s2.0-85045183447,Article,2018,11
2-s2.0-85047652244,Article,2018,09
2-s2.0-85041619225,Article,2018,03
2-s2.0-85020480998,Article,2018,01
2-s2.0-85041534447,Article,2018,12
2-s2.0-85054843179,Conference Paper,2018,09
2-s2.0-85042584759,Article,2018,02
2-s2.0-85046688382,Article,2018,05
2-s2.0-85055312528,Article,2018,07
2-s2.0-85055706392,Short Survey,2018,10
2-s2.0-85092590734,Book Chapter,2018,01
2-s2.0-85045732767,Article,2018,06
2-s2.0-85051840032,Article,2018,08
2-s2.0-85045091334,Article,2018,03
2-s2.0-85045737563,Article,2018,08
2-s2.0-85053439955,Article,2018,12
2-s2.0-85029507390,Article,2018,02
2-s2.0-85050810403,Article,2018,11
2-s2.0-85042358246,Article,2018,01
2-s2.0-85049139765,Article,2018,04
2-s2.0-85041519189,Article,2018,04
2-s2.0-85048852055,Article,2018,07
2-s2.0-85040372659,Article,2018,07
2-s2.0-85053448876,Article,2018,11
2-s2.0-85055145038,Article,2018,09
2-s2.0-85037859579,Article,2018,02
2-s2.0-85037812126,Article,2018,01
2-s2.0-85050864383,Article,2018,09
2-s2.0-85055752021,Article,2018,06
2-s2.0-85051326383,Article,2018,07
2-s2.0-85042708303,Article,2018,04
2-s2.0-85050195928,Article,2018,11
2-s2.0-85062801280,Conference Paper,2018,12
2-s2.0-85040964325,Conference Paper,2018,01
2-s2.0-85051248599,Note,2018,10
2-s2.0-85059248986,Article,2018,12
2-s2.0-85048230209,Conference Paper,2018,05
2-s2.0-85053198491,Conference Paper,2018,08
2-s2.0-85035000126,Article,2018,03
2-s2.0-85047417336,Article,2018,06
2-s2.0-85041953513,Article,2018,02
2-s2.0-85054007220,Conference Paper,2018,08
2-s2.0-85028968808,Article,2018,03
2-s2.0-85051952905,Article,2018,11
2-s2.0-85042885879,Article,2018,05
2-s2.0-85078621193,Book Chapter,2018,12
2-s2.0-85056123799,Conference Paper,2018,10
2-s2.0-85049674972,Article,2018,08
2-s2.0-85045128638,Article,2018,04
2-s2.0-85048711828,Article,2018,06
2-s2.0-85046136591,Article,2018,08
2-s2.0-85043242314,Article,2018,03
2-s2.0-85044339553,Article,2018,06
2-s2.0-85057083547,Article,2018,12
2-s2.0-85054184829,Article,2018,10
2-s2.0-85041738585,Article,2018,02
2-s2.0-85054040839,Conference Paper,2018,08
2-s2.0-85042621688,Article,2018,06
2-s2.0-85055174378,Article,2018,04
2-s2.0-85049063852,Article,2018,06
2-s2.0-85043984026,Article,2018,05
2-s2.0-85057607480,Article,2018,11
2-s2.0-85040707959,Article,2018,09
2-s2.0-85029151002,Article,2018,01
2-s2.0-85057461681,Conference Paper,2018,11
2-s2.0-85048339597,Article,2018,06
2-s2.0-85046767864,Article,2018,04
2-s2.0-85048454397,Article,2018,08
2-s2.0-85049811148,Article,2018,10
2-s2.0-85060970184,Conference Paper,2018,12
2-s2.0-85054780572,Article,2018,10
2-s2.0-85050047736,Book Chapter,2018,01
2-s2.0-85055877820,Article,2018,12
2-s2.0-85043522994,Article,2018,06
2-s2.0-85045678212,Conference Paper,2018,03
2-s2.0-85055149780,Article,2018,08
2-s2.0-85047186632,Article,2018,04
2-s2.0-85041471953,Review,2018,02
2-s2.0-85053448002,Article,2018,11
2-s2.0-85039721209,Article,2018,02
2-s2.0-85053662303,Article,2018,09
2-s2.0-85049408729,Article,2018,07
2-s2.0-85060496074,Conference Paper,2018,12
2-s2.0-85043451547,Letter,2018,11
2-s2.0-85041663017,Review,2018,04
2-s2.0-85027198855,Article,2018,08
2-s2.0-85064718907,Article,2018,06
