,funding_agency_name,Country
0,Ratchadapisek Sompoch Endowment Fund,Thailand
4,Ministry for Science and Technology of Brazil,Brazil
5,State University of Londrina,Brazil
7,"Department of Chemical Engineering, Chulalongkorn University",Thailand
8,"Dow Chemical (Thailand), Ltd.",Thailand
9,"PTT Phenol Co., Ltd.",Thailand
11,EU-ESF,European Union
12,GSRT (Greece)GSRT,Greece
19,Provincial Electricity Authority,Thailand
20,A. P. Sloan Foundation,United States
21,Austrian Federal Ministry of Science,Austria
22,Consorzio per la Fisica,Italy
23,Desarrollo e Innovación and Programa Consolider-Ingenio 2010,Spain
24,Helsinki Institute of Physics,Finland
25,Institute for Studies in Theoretical Physics and Mathematics,Iran
26,Mexican Funding Agencies,Mexico
27,National Innovation Office,Hungary
29,Republic of Korea,South Korea
30,Secretaría de Estado de Investigación,Spain
33,Centre for Advanced Studies in Tropical Natural Resources,Malaysia
37,100th Anniversary Chulalongkorn University,Thailand
39,CU-CLUSTER fund of Chulalong-korn University,Thailand
40,Boston Scientific Foundation,United States
41,US National Institutes of Health,United States
42,Veterans Affairs Puget Sound Health Care System,United States
44,COL-CIENCIAS,Colombia
46,Excellence of Science,Poland
47,FRIA-Belgium,Belgium
48,IWT-Belgium,Belgium
50,MESTD,Serbia
53,Programa Estatal de Fomento de la Investigación Científica y Técnica de Excelencia María de Maeztu,Spain
54,Swiss Funding Agencies,Switzerland
55,TUBITAK,Turkey
56,UASLP-FAI,Mexico
57,Ratchadaphiseksomphot Endowment Fund,Thailand
58,Royal Thai Government,Thailand
61,Health System Research Institute,Thailand
62,Prince of Songkla University National Research Council of Thailand,Thailand
63,Royal College of Anesthesiologists of Thailand,Thailand
64,Siriraj Hospital and Ramathibodi Hospital,Thailand
65,Pork Checkoff,United States
66,Hundred Excellent Innovative Talents Support Program in Hebei Province,China
67,National Science Foundation for Distinguished Young Scholars for Hebei Province of China,China
68,Thai Government Budget,Thailand
69,The Energy Conservation Promotion Fund,Thailand
70,Chula-longkorn Academic Advancement,Thailand
71,DPST,Thailand
74,Thailand Research Fund/Office of the Higher Education Commission,Thailand
75,Polish Ministry of Science and Higher Education,Poland
76,Polish National Science Centre,Poland
77,Beasiswa Unggulan,Indonesia
78,Health and Human Services Administration of Developmental Disabilities,The United States
79,"Ministry of National Education, Government of Indonesia",Indonesia
80,National Institute of Health,United States
81,European Union’s Horizon 2020,Belgium
82,Ministry of Science and Culture of Lower Saxony,Germany
83,Niedersachsen-Research Network on Neuroinfectiology,Germany
90,"Cantons of Bern, Geneva and Zurich",Switzerland
91,Chulalongkorn Academic,Thailand
94,"Horizon 2020, and Marie Sklo dowska-Curie Actions",The European Union
95,Investissements d’Avenir Labex,France
96,MSMT,Czech Republic
98,Qatar NRF,Qatar
100,RGC,Hong Kong
101,Région Auvergne,France
102,UniZH,Switzerland
104,Wallenberg Foundation,Sweden
105,Bangchak Petroleum PLC.,Thailand
111,"Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",Thailand
116,US Department of Defense,United States
117,Japan Advanced Institute of Science and Technology,Japan
118,Thailand Research and Technology,Thailand
119,"Western Digital (Thailand) Company, Ltd.",Thailand
120,Chulalongkorn Academic Advancement,Thailand
121,L’Oreal (Thailand) Ltd,Thailand
122,NRCT-JSPS,Thailand
123,National Wildlife Research Center,United States
124,"Center of Excellence on Petrochemicals and Materials Technology, Chulalongkorn University",Thailand
126,"CU Graduate School Thesis Grant, Chulalongkorn University",Thailand
127,Huvepharma (Thailand) Ltd,Thailand
128,Thammasat University Research Fund,Thailand
129,Sahamongkol Film International Company Limited,Thailand
130,US-Thai,United States
131,Hymenoptera Institute of Kentucky,The United States
136,National Science Foundation Advancing Revisionary Taxonomy and Systematics,United States
137,Texas A&M Pesca,United States
138,Programa Severo Ochoa del Princi-pado de Asturias,Spain
