_id,funding_agency_name,Country
675292bff70a6504336bfb31,Ratchadapisek Sompoch Endowment Fund,Thailand
675292c0f70a6504336bfb32,Surface Coatings Technology for Metals and Materials Research Unit,None
675292c1f70a6504336bfb33,Nakhon Ratchasima,None
675292c1f70a6504336bfb34,Government Annual Research Budget,None
675292c2f70a6504336bfb35,Ministry for Science and Technology of Brazil,Brazil
675292c2f70a6504336bfb36,State University of Londrina,Brazil
675292caf70a6504336bfb37,Bangkok Synthetics Co.,None
675292cbf70a6504336bfb38,"Department of Chemical Engineering, Chulalongkorn University",Thailand
675292ccf70a6504336bfb39,"Dow Chemical (Thailand), Ltd.",Thailand
675292ccf70a6504336bfb3a,"PTT Phenol Co., Ltd.",Thailand
675292d1f70a6504336bfb3b,CPAN,None
675292d1f70a6504336bfb3c,EU-ESF,European Union
675292d2f70a6504336bfb3d,GSRT (Greece)GSRT,Greece
675292d2f70a6504336bfb3e,MSES,None
675292d3f70a6504336bfb3f,MoER,None
675292d3f70a6504336bfb40,PCTI,None
675292d4f70a6504336bfb41,STAR,None
675292d4f70a6504336bfb42,EE-KU,None
675292d5f70a6504336bfb43,Faculty of Engineering KU,None
675292d5f70a6504336bfb44,Provincial Electricity Authority,Thailand
675292d6f70a6504336bfb45,A. P. Sloan Foundation,United States
675292d7f70a6504336bfb46,Austrian Federal Ministry of Science,Austria
675292d7f70a6504336bfb47,Consorzio per la Fisica,Italy
675292d8f70a6504336bfb48,Desarrollo e Innovación and Programa Consolider-Ingenio 2010,Spain
675292d8f70a6504336bfb49,Helsinki Institute of Physics,Finland
675292d9f70a6504336bfb4a,Institute for Studies in Theoretical Physics and Mathematics,Iran
675292d9f70a6504336bfb4b,Mexican Funding Agencies,Mexico
675292daf70a6504336bfb4c,National Innovation Office,Hungary
675292daf70a6504336bfb4d,National Scientific Research Foundation,None
675292dbf70a6504336bfb4e,Republic of Korea,South Korea
675292dbf70a6504336bfb4f,Secretaría de Estado de Investigación,Spain
675292dcf70a6504336bfb50,State Fund for Fundamental Researches,None
675292dcf70a6504336bfb51,Sompoch Endowment Fund,None
675292ddf70a6504336bfb52,Centre for Advanced Studies in Tropical Natural Resources,Malaysia
675292def70a6504336bfb53,Cluster and Program Management Office,None
675292def70a6504336bfb54,NRU-KU,None
675292dff70a6504336bfb55,National Research University,None
675292dff70a6504336bfb56,100th Anniversary Chulalongkorn University,Thailand
675292e0f70a6504336bfb57,Allergan and Merz Pharma,None
675292e0f70a6504336bfb58,CU-CLUSTER fund of Chulalong-korn University,Thailand
675292e1f70a6504336bfb59,Boston Scientific Foundation,United States
675292e1f70a6504336bfb5a,US National Institutes of Health,United States
675292e2f70a6504336bfb5b,Veterans Affairs Puget Sound Health Care System,United States
675292e3f70a6504336bfb5c,Nano-Cosmeceuticals Laboratory,None
675292e3f70a6504336bfb5d,COL-CIENCIAS,Colombia
675292e4f70a6504336bfb5e,ERC IUT,None
675292e4f70a6504336bfb5f,Excellence of Science,Poland
675292e5f70a6504336bfb60,FRIA-Belgium,Belgium
675292e6f70a6504336bfb61,IWT-Belgium,Belgium
675292e7f70a6504336bfb62,LNS,None
675292e7f70a6504336bfb63,MESTD,Serbia
675292e8f70a6504336bfb64,MON,None
675292e8f70a6504336bfb65,MSHE,None
675292e9f70a6504336bfb66,Programa Estatal de Fomento de la Investigación Científica y Técnica de Excelencia María de Maeztu,Spain
675292e9f70a6504336bfb67,Swiss Funding Agencies,Switzerland
675292eaf70a6504336bfb68,TUBITAK,Turkey
675292eaf70a6504336bfb69,UASLP-FAI,Mexico
675292ebf70a6504336bfb6a,Ratchadaphiseksomphot Endowment Fund,Thailand
675292ecf70a6504336bfb6b,Royal Thai Government,Thailand
675292ecf70a6504336bfb6c,TRF-Rubber,None
675292edf70a6504336bfb6d,Research and Academic Affairs Promotion Fund,None
675292edf70a6504336bfb6e,Health System Research Institute,Thailand
675292eef70a6504336bfb6f,Prince of Songkla University National Research Council of Thailand,Thailand
675292eef70a6504336bfb70,Royal College of Anesthesiologists of Thailand,Thailand
675292eff70a6504336bfb71,Siriraj Hospital and Ramathibodi Hospital,Thailand
675292eff70a6504336bfb72,Pork Checkoff,United States
675292f0f70a6504336bfb73,Hundred Excellent Innovative Talents Support Program in Hebei Province,China
675292f0f70a6504336bfb74,National Science Foundation for Distinguished Young Scholars for Hebei Province of China,China
675292f1f70a6504336bfb75,Thai Government Budget,Thailand
675292f1f70a6504336bfb76,The Energy Conservation Promotion Fund,Thailand
675292f2f70a6504336bfb77,Chula-longkorn Academic Advancement,Thailand
675292f3f70a6504336bfb78,DPST,Thailand
