Eid,Agency_Name,Agency_ID,Agency_Country
2-s2.0-85029781991,Ratchadapisek Sompoch Endowment Fund,,
2-s2.0-85029781991,Ministry of Education,100009950,Thailand
2-s2.0-85029781991,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039924338,Ratchadapisek Sompoch Endowment Fund,,
2-s2.0-85039924338,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039924338,Thailand Research Fund,501100004396,Thailand
2-s2.0-85039922521,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039920890,National Research University Project,,
2-s2.0-85039920890,Office of the Higher Education Commission,100012527,Thailand
2-s2.0-85039920890,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039920812,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039917530,CU-ASEAN,,
2-s2.0-85039917530,Ministry of Education,100009950,Thailand
2-s2.0-85039917530,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039914805,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039914805,Thailand Research Fund,501100004396,Thailand
2-s2.0-85039914338,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039914338,Thailand Research Fund,501100004396,Thailand
2-s2.0-85039914338,Burapha University,501100006749,Thailand
2-s2.0-85039898441,CU Scholarship,,
2-s2.0-85039898441,Chulalongkorn University,501100002873,Thailand
2-s2.0-85039898441,Thailand Research Fund,501100004396,Thailand
2-s2.0-85039897067,Japan Society for the Promotion of Science,501100001691,Japan
2-s2.0-85039709530,HST-AR-12847,,
2-s2.0-85039709530,Thailand Research Fund/Office of the Higher Education Commission,,
2-s2.0-85039709530,Japan Society for the Promotion of Science,501100001691,Japan
2-s2.0-85038429957,Rachadaphiseksomphot Fund,,
2-s2.0-85038429957,Russian State Research Project,,
2-s2.0-85038429957,Russian Foundation for Basic Research,501100002261,Russian Federation
2-s2.0-85038429957,Chulalongkorn University,501100002873,Thailand
2-s2.0-85038429957,Thailand Research Fund,501100004396,Thailand
2-s2.0-85032489556,Fundacion Araucaria,100016136,The United States
2-s2.0-85032271239,Science Achievement Scholarship of Thailand,,
2-s2.0-85032271239,Thailand Research Fund,501100004396,Thailand
2-s2.0-85032271239,School of Aerospace Science and Technology,501100005321,China
2-s2.0-85033555515,Center for Innovation in Chemistry,,
2-s2.0-85033555515,Materials Chemistry Research Center,,
2-s2.0-85033555515,PERCH-CIC,,
2-s2.0-85033555515,Higher Education Research Promotion,100007469,Thailand
2-s2.0-85033555515,Office of the Higher Education Commission,100012527,Thailand
2-s2.0-85033555515,Khon Kaen University,501100004071,Thailand
2-s2.0-85033555515,Thailand Research Fund,501100004396,Thailand
2-s2.0-85021181600,Chulalongkorn University,501100002873,Thailand
2-s2.0-85021181600,Chulalongkorn University,501100002873,Thailand
2-s2.0-85021181600,Thailand Research Fund,501100004396,Thailand
2-s2.0-85021181600,Thailand Research Fund,501100004396,Thailand
2-s2.0-85041048740,Nationwide Children's Hospital,100007520,The United States
2-s2.0-85038434704,Ratchadaphiseksomphot Endowment Fund,,
2-s2.0-85038434704,Ministry of Science and Technology,100007225,Viet Nam
2-s2.0-85038434704,National Science and Technology Development Agency,501100004192,Thailand
2-s2.0-85038434704,Thailand Research Fund,501100004396,Thailand
2-s2.0-85038434704,National Nanotechnology Center,501100007056,Thailand
2-s2.0-85038434704,Ministry of Science and Technology of Thailand,501100007275,Thailand
2-s2.0-85028376438,R.V.,,
2-s2.0-85028376438,College and Graduate School of Arts and Sciences,100008458,The United States
2-s2.0-85028376438,Science and Industry Endowment Fund,100008716,Australia
2-s2.0-85028376438,Chulalongkorn University,501100002873,Thailand
2-s2.0-85028376438,Thailand Research Fund,501100004396,Thailand
2-s2.0-85028376438,Nordic Energy Research,501100006142,Norway
2-s2.0-85040170019,"Ministry of Science, ICT and Future Planning",501100003621,"Korea, Republic of"
2-s2.0-85040170019,"Ministry of Science, ICT and Future Planning",501100003621,"Korea, Republic of"
2-s2.0-85040170019,National Research Foundation of Korea,501100003725,"Korea, Republic of"
2-s2.0-85040170019,King Mongkut's University of Technology Thonburi,501100004705,Thailand
2-s2.0-85052976005,Office of the Royal Development Projects Board,,
2-s2.0-85052976005,RDPB,,
2-s2.0-85052976005,Thailand Research Fund,501100004396,Thailand
2-s2.0-85032425979,National Research University Project,,
2-s2.0-85032425979,Overseas Research Experience Scholarship for Graduate Student,,
2-s2.0-85032425979,Ratchadaphiseksomphot Endowment Fund,,
2-s2.0-85032425979,Center of Excellence in Regulatory Science and Innovation,100008935,The United States
2-s2.0-85032425979,Office of the Higher Education Commission,100012527,Thailand
2-s2.0-85032425979,Chulalongkorn University,501100002873,Thailand
2-s2.0-85032425979,Thailand Research Fund,501100004396,Thailand
2-s2.0-85038597618,CNRS/IN2P3,,
2-s2.0-85038597618,CPAN,,
2-s2.0-85038597618,ERC IUT,,
2-s2.0-85038597618,LNS,,
2-s2.0-85038597618,MESTD,,
2-s2.0-85038597618,MON,,
2-s2.0-85038597618,MSES,,
2-s2.0-85038597618,MSHE,,
2-s2.0-85038597618,MoER,,
2-s2.0-85038597618,PCTI,,
2-s2.0-85038597618,RAEP,,
2-s2.0-85038597618,STAR,,
2-s2.0-85038597618,Swiss Funding Agencies,,
2-s2.0-85038597618,TUBITAK,,
2-s2.0-85038597618,ThEPCenter,,
2-s2.0-85038597618,UASLP-FAI,,
2-s2.0-85038597618,National Science Foundation,100000001,The United States
2-s2.0-85038597618,National Science Foundation,100000001,The United States
2-s2.0-85038597618,National Institutes of Health,100000002,The United States
2-s2.0-85038597618,U.S. Department of Energy,100000015,The United States
2-s2.0-85038597618,Hispanics in Philanthropy,100001169,The United States
2-s2.0-85038597618,CS Fund,100001570,The United States
2-s2.0-85038597618,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",100007637,Colombia
2-s2.0-85038597618,California Earthquake Authority,100008931,The United States
2-s2.0-85038597618,Secretaría de Educación Pública,100010096,Mexico
2-s2.0-85038597618,Türkiye Atom Enerjisi Kurumu,100010440,Turkey
2-s2.0-85038597618,Louisiana Academy of Sciences,100011424,The United States
2-s2.0-85038597618,Missouri University of Science and Technology,100011535,The United States
2-s2.0-85038597618,CERN,100012470,Switzerland
2-s2.0-85038597618,"College of Arts and Sciences, University of Nebraska-Lincoln",100013235,The United States
2-s2.0-85038597618,Norwegian Sequencing Centre,100016847,Norway
2-s2.0-85038597618,Institute for the Promotion of Teaching Science and Technology,100016907,Thailand
2-s2.0-85038597618,Mountain Equipment Co-operative,501100000090,Canada
2-s2.0-85038597618,Science and Technology Facilities Council,501100000271,The United Kingdom
2-s2.0-85038597618,Science and Technology Facilities Council,501100000271,The United Kingdom
2-s2.0-85038597618,Royal Astronomical Society,501100000698,The United Kingdom
2-s2.0-85038597618,Ministry of Education - Singapore,501100001459,Singapore
2-s2.0-85038597618,"Department of Atomic Energy, Government of India",501100001502,India
2-s2.0-85038597618,Science Foundation Ireland,501100001602,Ireland
2-s2.0-85038597618,Helmholtz-Gemeinschaft,501100001656,Germany
2-s2.0-85038597618,Deutsche Forschungsgemeinschaft,501100001659,Germany
2-s2.0-85038597618,Fundação de Amparo à Pesquisa do Estado de São Paulo,501100001807,Brazil
2-s2.0-85038597618,National Natural Science Foundation of China,501100001809,China
2-s2.0-85038597618,Research Promotion Foundation,501100001810,Cyprus
2-s2.0-85038597618,Fundação para a Ciência e a Tecnologia,501100001871,Portugal
2-s2.0-85038597618,Russian Foundation for Basic Research,501100002261,Russian Federation
2-s2.0-85038597618,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,501100002322,Brazil
2-s2.0-85038597618,Academy of Finland,501100002341,Finland
2-s2.0-85038597618,Bundesministerium für Bildung und Forschung,501100002347,Germany
2-s2.0-85038597618,Austrian Science Fund,501100002428,Austria
2-s2.0-85038597618,Fonds De La Recherche Scientifique - FNRS,501100002661,Belgium
2-s2.0-85038597618,Fonds Wetenschappelijk Onderzoek,501100003130,Belgium
2-s2.0-85038597618,Consejo Nacional de Ciencia y Tecnología,501100003141,Mexico
2-s2.0-85038597618,"Bundesministerium für Wissenschaft, Forschung und Wirtschaft",501100003413,Austria
2-s2.0-85038597618,General Secretariat for Research and Technology,501100003448,Greece
2-s2.0-85038597618,Hungarian Scientific Research Fund,501100003549,Hungary
2-s2.0-85038597618,Conselho Nacional de Desenvolvimento Científico e Tecnológico,501100003593,Brazil
2-s2.0-85038597618,"Ministry of Science, ICT and Future Planning",501100003621,"Korea, Republic of"
2-s2.0-85038597618,Ministry of Science and Technology,501100003711,"Korea, Republic of"
2-s2.0-85038597618,National Research Foundation of Korea,501100003725,"Korea, Republic of"
2-s2.0-85038597618,Joint Institute for Nuclear Research,501100003822,Russian Federation
2-s2.0-85038597618,Instituto Nazionale di Fisica Nucleare,501100004007,Italy
2-s2.0-85038597618,National Science and Technology Development Agency,501100004192,Thailand
2-s2.0-85038597618,National Science and Technology Development Agency,501100004192,Thailand
2-s2.0-85038597618,"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación",501100004299,Ecuador
2-s2.0-85038597618,Universiti Malaya,501100004386,Malaysia
2-s2.0-85038597618,Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,501100004586,Brazil
2-s2.0-85038597618,Ministry for Business Innovation and Employment,501100004629,New Zealand
2-s2.0-85038597618,National Academy of Sciences of Ukraine,501100004742,Ukraine
2-s2.0-85038597618,Ministry of Education and Science,501100005992,Bulgaria
2-s2.0-85038597618,Institute for Research in Fundamental Sciences,501100006115,"Iran, Islamic Republic of"
2-s2.0-85038597618,Benemérita Universidad Autónoma de Puebla,501100006348,Mexico
2-s2.0-85038597618,"Secretaría de Estado de Investigación, Desarrollo e Innovación",501100007136,Spain
2-s2.0-85038597618,European Regional Development Fund,501100008530,European Union
2-s2.0-85038597618,State Atomic Energy Corporation ROSATOM,501100008687,Russian Federation
2-s2.0-85038597618,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,501100008688,Mexico
2-s2.0-85038597618,Pakistan Atomic Energy Commission,501100008689,Pakistan
2-s2.0-85038597618,State Fund for Fundamental Research of Ukraine,501100008690,Ukraine
2-s2.0-85038597618,"Department of Science and Technology, Government of West Bengal",501100008789,India
2-s2.0-85028559492,Helse-Vest,,
2-s2.0-85034449894,CPAN,,
2-s2.0-85034449894,ERC IUT,,
2-s2.0-85034449894,LNS,,
2-s2.0-85034449894,MESTD,,
2-s2.0-85034449894,MON,,
2-s2.0-85034449894,MSES,,
2-s2.0-85034449894,MSHE,,
2-s2.0-85034449894,MoER,,
2-s2.0-85034449894,PCTI,,
2-s2.0-85034449894,RAEP,,
2-s2.0-85034449894,STAR,,
2-s2.0-85034449894,Swiss Funding Agencies,,
2-s2.0-85034449894,TUBITAK,,
2-s2.0-85034449894,UASLP-FAI,,
2-s2.0-85034449894,National Science Foundation,100000001,The United States
2-s2.0-85034449894,National Science Foundation,100000001,The United States
2-s2.0-85034449894,National Institutes of Health,100000002,The United States
2-s2.0-85034449894,U.S. Department of Energy,100000015,The United States
2-s2.0-85034449894,Hispanics in Philanthropy,100001169,The United States
2-s2.0-85034449894,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",100007637,Colombia
2-s2.0-85034449894,Secretaría de Educación Pública,100010096,Mexico
2-s2.0-85034449894,Türkiye Atom Enerjisi Kurumu,100010440,Turkey
2-s2.0-85034449894,Louisiana Academy of Sciences,100011424,The United States
2-s2.0-85034449894,Missouri University of Science and Technology,100011535,The United States
2-s2.0-85034449894,CERN,100012470,Switzerland
2-s2.0-85034449894,Thailand Center of Excellence in Physics,100012863,Thailand
2-s2.0-85034449894,Cosmetic Surgery Foundation,100013521,The United States
2-s2.0-85034449894,Institute for the Promotion of Teaching Science and Technology,100016907,Thailand
2-s2.0-85034449894,Science and Technology Facilities Council,501100000271,The United Kingdom
2-s2.0-85034449894,Science and Technology Facilities Council,501100000271,The United Kingdom
2-s2.0-85034449894,"Department of Science and Technology, Ministry of Science and Technology, India",501100001409,India
2-s2.0-85034449894,Ministry of Education - Singapore,501100001459,Singapore
2-s2.0-85034449894,"Department of Atomic Energy, Government of India",501100001502,India
2-s2.0-85034449894,Science Foundation Ireland,501100001602,Ireland
2-s2.0-85034449894,Helmholtz-Gemeinschaft,501100001656,Germany
