,Eid,Subject_Field
0,2-s2.0-85038429957,Agricultural and Biological Sciences
1,2-s2.0-85029811763,Agricultural and Biological Sciences
2,2-s2.0-85052976005,Agricultural and Biological Sciences
3,2-s2.0-85047899907,Agricultural and Biological Sciences
4,2-s2.0-85044253500,Agricultural and Biological Sciences
5,2-s2.0-85040114563,Agricultural and Biological Sciences
6,2-s2.0-85032829181,Agricultural and Biological Sciences
7,2-s2.0-85022066491,Agricultural and Biological Sciences
8,2-s2.0-85036668130,Agricultural and Biological Sciences
9,2-s2.0-85053773163,Agricultural and Biological Sciences
10,2-s2.0-85037706907,Agricultural and Biological Sciences
11,2-s2.0-85037705620,Agricultural and Biological Sciences
12,2-s2.0-85037691507,Agricultural and Biological Sciences
13,2-s2.0-85037691271,Agricultural and Biological Sciences
14,2-s2.0-85037688660,Agricultural and Biological Sciences
15,2-s2.0-85037677307,Agricultural and Biological Sciences
16,2-s2.0-85034116329,Agricultural and Biological Sciences
17,2-s2.0-85026467782,Agricultural and Biological Sciences
18,2-s2.0-85038430003,Agricultural and Biological Sciences
19,2-s2.0-85035243322,Agricultural and Biological Sciences
20,2-s2.0-85035229201,Agricultural and Biological Sciences
21,2-s2.0-85032919230,Agricultural and Biological Sciences
22,2-s2.0-85032026998,Agricultural and Biological Sciences
23,2-s2.0-85024373885,Agricultural and Biological Sciences
24,2-s2.0-85014239337,Agricultural and Biological Sciences
25,2-s2.0-85020897462,Agricultural and Biological Sciences
26,2-s2.0-85032581552,Agricultural and Biological Sciences
27,2-s2.0-85032342303,Agricultural and Biological Sciences
28,2-s2.0-85031911705,Agricultural and Biological Sciences
29,2-s2.0-85031809054,Agricultural and Biological Sciences
30,2-s2.0-85031784906,Agricultural and Biological Sciences
31,2-s2.0-85031711640,Agricultural and Biological Sciences
32,2-s2.0-85029788720,Agricultural and Biological Sciences
33,2-s2.0-85028771275,Agricultural and Biological Sciences
34,2-s2.0-85028541903,Agricultural and Biological Sciences
35,2-s2.0-85028327212,Agricultural and Biological Sciences
36,2-s2.0-85028023806,Agricultural and Biological Sciences
37,2-s2.0-85020920795,Agricultural and Biological Sciences
38,2-s2.0-85018586734,Agricultural and Biological Sciences
39,2-s2.0-85072768814,Agricultural and Biological Sciences
40,2-s2.0-85020460389,Agricultural and Biological Sciences
41,2-s2.0-85020398202,Agricultural and Biological Sciences
42,2-s2.0-85066815325,Agricultural and Biological Sciences
43,2-s2.0-85029708486,Agricultural and Biological Sciences
44,2-s2.0-85029682396,Agricultural and Biological Sciences
45,2-s2.0-85029575483,Agricultural and Biological Sciences
46,2-s2.0-85028414414,Agricultural and Biological Sciences
47,2-s2.0-85025825788,Agricultural and Biological Sciences
48,2-s2.0-85022207227,Agricultural and Biological Sciences
49,2-s2.0-85020808443,Agricultural and Biological Sciences
50,2-s2.0-85020725619,Agricultural and Biological Sciences
51,2-s2.0-85019262818,Agricultural and Biological Sciences
52,2-s2.0-85018626584,Agricultural and Biological Sciences
53,2-s2.0-85016392676,Agricultural and Biological Sciences
54,2-s2.0-85012991885,Agricultural and Biological Sciences
55,2-s2.0-84983507429,Agricultural and Biological Sciences
56,2-s2.0-85007300841,Agricultural and Biological Sciences
57,2-s2.0-85044634841,Agricultural and Biological Sciences
58,2-s2.0-85038256136,Agricultural and Biological Sciences
59,2-s2.0-85026823266,Agricultural and Biological Sciences
60,2-s2.0-85026472141,Agricultural and Biological Sciences
61,2-s2.0-85026458809,Agricultural and Biological Sciences
62,2-s2.0-85021712721,Agricultural and Biological Sciences
63,2-s2.0-85015912542,Agricultural and Biological Sciences
64,2-s2.0-85006856684,Agricultural and Biological Sciences
65,2-s2.0-85040620965,Agricultural and Biological Sciences
