,Eid,Cite-By_Count,Title
0,2-s2.0-85029781991,61,Shear capacity of high performance fiber reinforced concrete I-beams
1,2-s2.0-85049840335,0,Mutation operators in BPMN model
2,2-s2.0-85039703338,31,Phoyunnanin E inhibits migration of non-small cell lung cancer cells via suppression of epithelial-to-mesenchymal transition and integrin αv and integrin β3
3,2-s2.0-85039924338,4,Investigation of alkoxysilanes in the presence of hydrogen with ziegler-natta catalysts in ethylene polymerization
4,2-s2.0-85039922690,0,Input modeling prioritization using statistically user profile for pairwise test case generation with constraints handling
5,2-s2.0-85039922521,9,Analytic hierarchy process for stakeholder participation in integrated water resources management
6,2-s2.0-85039920890,6,A novel design and implementation of a 4-DOF upper limb exoskeleton for stroke rehabilitation with active assistive control strategy
7,2-s2.0-85039920812,1,Parallel-axis gear design methodology for minimization of power loss and its effect on vibration characteristics
8,2-s2.0-85039917530,7,Evaluating damaged concrete depth in reinforced concrete structures under different fire exposure times by means of NDT and DT techniques
9,2-s2.0-85039915342,7,Warehouse layout design for an automotive raw material supplier
10,2-s2.0-85039914805,3,Characteristics and catalytic properties of Ni/Ti-Si composite oxide catalysts via CO<inf>2</inf> hydrogenation
11,2-s2.0-85039914338,6,Improving of crystal size distribution control based on neural network-based hybrid model for purified terephthalic acid batch crystallizer
12,2-s2.0-85039910610,0,On-line digit set conversion for rational digit number
13,2-s2.0-85039907641,2,Motion-resistant pulse oximetry processing based on time-frequency analysis
14,2-s2.0-85039898441,3,Scaled boundary finite element method for two-dimensional linear multi-field media
15,2-s2.0-85039897067,26,A comparative study on the risk perceptions of the public and private sectors in public-private partnership (PPP) transportation projects in Vietnam
16,2-s2.0-85039838976,36,Ethanolic extract of Streblus asper leaves protects against glutamate-induced toxicity in HT22 hippocampal neuronal cells and extends lifespan of Caenorhabditis elegans
17,2-s2.0-85045532588,1,Extreme anomalous score clustering algorithm
18,2-s2.0-85045521722,4,Extreme anomalous oversampling technique for class imbalance
19,2-s2.0-85045514754,0,Predicting customer churn in mobile football application
20,2-s2.0-85040219312,10,Evidence of Multi-Component Ion Exchange in Dolomite Formation during Low Salinity Waterflooding
21,2-s2.0-85039709530,44,Spatially Resolved Kinematics in the Central 1 kpc of a Compact Star-forming Galaxy at z ∼ 2.3 from ALMA CO Observations
22,2-s2.0-85046543076,3,UAV-based multispectral aerial image retrieval using spectral feature and semantic computing
23,2-s2.0-85046426252,3,Miniaturization of power dividers using quarter-wave-like transformers (QWLTs)
24,2-s2.0-85046402196,0,Analysis of cancerous tissue temperature in the breast during hyperthermia
25,2-s2.0-85046374860,0,In vivo tumor suppression via curcumin released from gelatin/Thai silk fibroin microspheres
26,2-s2.0-85046369087,0,Design of contraction-expansion microchannels for particle-sorting with five-micrometer resolution
27,2-s2.0-85046362125,4,Flexible printed antenna for digital TV reception
28,2-s2.0-85046355901,8,Performance of a QRS detector on self-collected database using a handheld two-electrode ECG
