Eid,Affiliation
2-s2.0-85053164279,60018465
2-s2.0-85053164279,60091507
2-s2.0-85049101440,60028190
2-s2.0-85054140369,60017165
2-s2.0-85054140369,60026046
2-s2.0-85054140369,60028190
2-s2.0-85054140369,60092136
2-s2.0-85097515350,60028190
2-s2.0-85097515350,60110518
2-s2.0-85041527766,60004437
2-s2.0-85041527766,60024787
2-s2.0-85041527766,113139919
2-s2.0-85041527766,118163653
2-s2.0-85041527766,60022183
2-s2.0-85041527766,60068691
2-s2.0-85041527766,60013022
2-s2.0-85041527766,60073385
2-s2.0-85053470598,60138776
2-s2.0-85053470598,60012521
2-s2.0-85052134000,60028190
2-s2.0-85047155505,60026526
2-s2.0-85047155505,60028190
2-s2.0-85047155505,60000881
2-s2.0-85047155505,60012521
2-s2.0-85047155505,60011220
2-s2.0-85050817664,60027866
2-s2.0-85050817664,60028190
2-s2.0-85050817664,60031890
2-s2.0-85050817664,60018805
2-s2.0-85050817664,114423726
2-s2.0-85044660689,60028190
2-s2.0-85044660689,60000316
2-s2.0-85044660689,112635280
2-s2.0-85045376379,60028190
2-s2.0-85045376379,60001361
2-s2.0-85054527535,60070862
2-s2.0-85054527535,60025205
2-s2.0-85059443311,60028190
2-s2.0-85020664359,113568771
2-s2.0-85020664359,60015580
2-s2.0-85020664359,60021568
2-s2.0-85020664359,60011339
2-s2.0-85020664359,60028884
2-s2.0-85020664359,60011520
2-s2.0-85020664359,60170475
2-s2.0-85020664359,60020457
2-s2.0-85020664359,60018805
2-s2.0-85020664359,60027866
2-s2.0-85020664359,60028190
2-s2.0-85020664359,116324567
2-s2.0-85020664359,60031890
2-s2.0-85047007592,60028190
2-s2.0-85056927218,60028190
2-s2.0-85060184892,60028190
2-s2.0-85060184892,60022183
2-s2.0-85022177717,60028190
2-s2.0-85022177717,60021543
2-s2.0-85022177717,60091494
2-s2.0-85048387514,60017165
2-s2.0-85048387514,60028190
2-s2.0-85059951245,60028190
2-s2.0-85059951245,60018352
2-s2.0-85043236866,60028190
2-s2.0-85039449530,60091573
2-s2.0-85039449530,60092131
2-s2.0-85039449530,60028190
2-s2.0-85053161564,60028190
2-s2.0-85047618371,60028190
2-s2.0-85049207535,60028190
2-s2.0-85049207535,60014652
2-s2.0-85058885422,60028190
