Eid,Funding Count,Cite-By Count,Has Funding,Has Cite-By
2-s2.0-85053164279,7,8,1,1
2-s2.0-85049101440,3,33,1,1
2-s2.0-85054140369,3,8,1,1
2-s2.0-85097515350,0,0,0,0
2-s2.0-85041527766,0,12,0,1
2-s2.0-85053470598,5,3,1,1
2-s2.0-85052134000,3,4,1,1
2-s2.0-85047155505,6,1,1,1
2-s2.0-85050817664,4,17,1,1
2-s2.0-85044660689,7,13,1,1
2-s2.0-85045376379,4,10,1,1
2-s2.0-85054527535,97,11,1,1
2-s2.0-85059443311,0,1,0,1
2-s2.0-85020664359,0,17,0,1
2-s2.0-85047007592,8,9,1,1
2-s2.0-85056927218,5,6,1,1
2-s2.0-85060184892,2,1,1,1
2-s2.0-85022177717,5,29,1,1
2-s2.0-85048387514,2,3,1,1
2-s2.0-85059951245,6,4,1,1
2-s2.0-85043236866,5,31,1,1
2-s2.0-85039449530,2,12,1,1
2-s2.0-85053161564,5,4,1,1
2-s2.0-85047618371,2,35,1,1
2-s2.0-85049207535,6,11,1,1
2-s2.0-85058885422,5,7,1,1
2-s2.0-85045554892,5,1,1,1
2-s2.0-85070861352,4,0,1,0
2-s2.0-85060277158,6,4,1,1
2-s2.0-85054972627,4,16,1,1
2-s2.0-85038867462,3,13,1,1
2-s2.0-85144177415,0,0,0,0
2-s2.0-85049655427,2,3,1,1
2-s2.0-85035088244,5,13,1,1
2-s2.0-85040547931,6,30,1,1
2-s2.0-85054821288,0,1,0,1
2-s2.0-85044339398,0,3,0,1
2-s2.0-85041748957,95,34,1,1
2-s2.0-85062171866,0,1,0,1
2-s2.0-85047314220,3,8,1,1
2-s2.0-85048179306,2,8,1,1
2-s2.0-85147713497,2,0,1,0
2-s2.0-85057601344,7,2,1,1
2-s2.0-85047167635,2,33,1,1
2-s2.0-85052331097,1,1,1,1
2-s2.0-85042389036,3,4,1,1
2-s2.0-85049301587,0,1,0,1
2-s2.0-85050807596,0,4,0,1
2-s2.0-85041495380,9,47,1,1
2-s2.0-85037621941,4,11,1,1
2-s2.0-85057626112,2,24,1,1
2-s2.0-85045640382,4,6,1,1
2-s2.0-85045459881,0,2,0,1
2-s2.0-85056320658,4,17,1,1
2-s2.0-85054932486,3,12,1,1
2-s2.0-85052737316,5,1,1,1
2-s2.0-85032511738,6,12,1,1
2-s2.0-85063330758,0,6,0,1
2-s2.0-85041557278,6,1,1,1
2-s2.0-85052839755,100,84,1,1
2-s2.0-85048495781,3,12,1,1
2-s2.0-85045281768,4,6,1,1
2-s2.0-85042553922,4,36,1,1
2-s2.0-85055049678,2,10,1,1
2-s2.0-85055441994,11,0,1,0
2-s2.0-85052636861,3,9,1,1
2-s2.0-85059461222,6,0,1,0
2-s2.0-85063205666,5,20,1,1
2-s2.0-85046876678,12,43,1,1
2-s2.0-85043307556,0,0,0,0
2-s2.0-85047194755,2,2,1,1
2-s2.0-85058064727,0,46,0,1
2-s2.0-85027562644,0,11,0,1
2-s2.0-85056609623,2,8,1,1
2-s2.0-85043485030,2,12,1,1
2-s2.0-85039846745,0,1,0,1
2-s2.0-85058965397,5,6,1,1
2-s2.0-85041139198,6,26,1,1
2-s2.0-85052747581,2,11,1,1
2-s2.0-85054031311,0,2,0,1
2-s2.0-85047729577,0,19,0,1
2-s2.0-85147668502,0,0,0,0
2-s2.0-85058935797,3,16,1,1
2-s2.0-85046906040,0,0,0,0
2-s2.0-85050968237,3,9,1,1
2-s2.0-85049964164,0,47,0,1
2-s2.0-85057847743,6,0,1,0
2-s2.0-85057520893,0,0,0,0
2-s2.0-85041230497,2,25,1,1
2-s2.0-85047013666,10,45,1,1
2-s2.0-85051208796,3,13,1,1
2-s2.0-85037147132,4,32,1,1
2-s2.0-85041680827,4,22,1,1
2-s2.0-85053778287,2,11,1,1
2-s2.0-85056084379,6,8,1,1
2-s2.0-85042128317,6,4,1,1
2-s2.0-85048940239,3,13,1,1
2-s2.0-85049118943,0,1,0,1
2-s2.0-85051439474,3,2,1,1
2-s2.0-85042655838,3,6,1,1
2-s2.0-85048748130,146,12,1,1
