Eid,Funding_Agency_Name,Subject_Field,Year
2-s2.0-85053164279,Chulalongkorn University NSFC National Science Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,2500,2018
2-s2.0-85053164279,Chulalongkorn University NSFC National Science Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,3104,2018
2-s2.0-85049101440,,1403,2018
2-s2.0-85049101440,,2000,2018
2-s2.0-85054140369,"Faculty of Medicine, Khon Kaen University Rajamangala University Thailand National Organization",3612,2018
2-s2.0-85097515350,,1602,2018
2-s2.0-85097515350,,3003,2018
2-s2.0-85097515350,,1607,2018
2-s2.0-85097515350,,1603,2018
2-s2.0-85041527766,,2741,2018
2-s2.0-85041527766,,2715,2018
2-s2.0-85053470598,,2747,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1300,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1100,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1000,2018
2-s2.0-85047155505,,1000,2018
2-s2.0-85050817664,CNPq Chulalongkorn University Ministry for Science and Technology of Brazil State University,2719,2018
2-s2.0-85050817664,CNPq Chulalongkorn University Ministry for Science and Technology of Brazil State University,2739,2018
2-s2.0-85044660689,"Chulalongkorn University PTT Phenol Co., Ltd. Thailand National Organization",3108,2018
2-s2.0-85045376379,,2706,2018
2-s2.0-85054527535,,3106,2018
2-s2.0-85059443311,,3100,2018
2-s2.0-85020664359,,2808,2018
2-s2.0-85020664359,,2804,2018
2-s2.0-85047007592,,1503,2018
2-s2.0-85047007592,,1508,2018
2-s2.0-85056927218,,2717,2018
2-s2.0-85060184892,Chulalongkorn University Thailand National Organization,2700,2018
2-s2.0-85022177717,,2207,2018
2-s2.0-85022177717,,1700,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1607,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1606,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1704,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",2505,2018
2-s2.0-85059951245,,2500,2018
2-s2.0-85059951245,,3104,2018
2-s2.0-85059951245,,2211,2018
2-s2.0-85059951245,,2210,2018
2-s2.0-85043236866,,3304,2018
2-s2.0-85043236866,,2200,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3404,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3403,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,1103,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3402,2018
2-s2.0-85053161564,,1702,2018
2-s2.0-85053161564,,1706,2018
2-s2.0-85053161564,,2201,2018
2-s2.0-85053161564,,3105,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,1700,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,2500,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,2200,2018
2-s2.0-85049207535,Canon Foundation Chulalongkorn University Hokkaido University Thailand National Organization,2200,2018
2-s2.0-85058885422,,2706,2018
2-s2.0-85045554892,,1910,2018
2-s2.0-85045554892,,1104,2018
2-s2.0-85045554892,,2212,2018
2-s2.0-85045554892,,1902,2018
2-s2.0-85070861352,,1706,2018
2-s2.0-85070861352,,1708,2018
2-s2.0-85070861352,,1802,2018
2-s2.0-85070861352,,2208,2018
2-s2.0-85070861352,,3105,2018
2-s2.0-85060277158,,2200,2018
2-s2.0-85054972627,Chulalongkorn University National Research University Thailand National Organization,2707,2018
2-s2.0-85038867462,Chulalongkorn University Thailand National Organization,2403,2018
2-s2.0-85038867462,Chulalongkorn University Thailand National Organization,1309,2018
2-s2.0-85144177415,,2700,2018
2-s2.0-85049655427,,3602,2018
2-s2.0-85035088244,,2105,2018
2-s2.0-85035088244,,2103,2018
2-s2.0-85035088244,,3104,2018
2-s2.0-85035088244,,2102,2018
2-s2.0-85040547931,,1314,2018
2-s2.0-85040547931,,2809,2018
2-s2.0-85040547931,,2737,2018
2-s2.0-85040547931,,2802,2018
2-s2.0-85054821288,,2500,2018
2-s2.0-85054821288,,2211,2018
2-s2.0-85054821288,,2210,2018
2-s2.0-85044339398,,2205,2018
2-s2.0-85044339398,,3313,2018
2-s2.0-85044339398,,1507,2018
2-s2.0-85041748957,,3106,2018
2-s2.0-85062171866,,3304,2018
2-s2.0-85047314220,,1500,2018
2-s2.0-85048179306,Chulalongkorn University Thailand National Organization,1110,2018
2-s2.0-85147713497,,2719,2018
2-s2.0-85147713497,,2739,2018
2-s2.0-85057601344,Center Kasetsart University National Research University Thailand National Organization USAID,1100,2018
