Eid,Index_Terms
2-s2.0-85029781991, Concretes Experimental program Fiber contents Fiber reinforced materials Fibers High performance concrete High performance fiber reinforced concrete Main parameters Reinforced concrete Shear capacity Shear flow Shear reinforcement Structural behaviors Ultimate capacity
2-s2.0-85039703338," A-549 cell line A549 Cells Article CD51 antigen Carcinoma, Non-Small-Cell Lung Cell Line, Tumor Cell Movement Cell Proliferation Cell Survival Dendrobium Dendrobium venustum Dendrobium venustum extract Epithelial-Mesenchymal Transition HaCat cell line Humans Integrins Lung Neoplasms NCI-H460 cell line Phenanthrenes Plant Extracts Rac protein Rho guanine nucleotide binding protein alpha5 integrin antineoplastic activity beta3 integrin cell migration cell motility cell motion cell proliferation cell structure cell survival cell viability chemistry controlled study cytotoxicity down regulation drug effects drug isolation enzyme phosphorylation epithelial mesenchymal transition focal adhesion kinase human human cell integrin lung cancer cell line lung tumor metabolism nerve cell adhesion molecule non small cell lung cancer pathology phenanthrene derivative phoyunnanin E plant extract plant medicinal product protein Cdc42 protein expression protein kinase B transcription factor Slug transcription factor Snail tumor cell line unclassified drug upregulation vimentin"
2-s2.0-85039924338,---
2-s2.0-85039922521,---
2-s2.0-85039920890,---
2-s2.0-85039920812,---
2-s2.0-85039922690,---
2-s2.0-85039917530,---
2-s2.0-85039914805,---
2-s2.0-85039914338,---
2-s2.0-85039915342,---
2-s2.0-85039898441,---
2-s2.0-85039910610,---
2-s2.0-85039907641,---
2-s2.0-85039897067,---
2-s2.0-85039709530,---
2-s2.0-85038429957, Animals China Hymenoptera Thailand Wasps animal wasp
2-s2.0-85032489556," 25 hydroxyvitamin D Aged Angiotensin Receptor Antagonists Angiotensin-Converting Enzyme Inhibitors Article Brazilian Cholecalciferol Female Glomerular Filtration Rate Humans Male Middle Aged Renal Insufficiency, Chronic Renin-Angiotensin System Vitamin D Deficiency Vitamins aged angiotensin receptor antagonist calcitriol chronic kidney failure colecalciferol complication controlled study dipeptidyl carboxypeptidase inhibitor drug effects estimated glomerular filtration rate female glomerulus filtration rate human hydroxymethylglutaryl coenzyme A reductase inhibitor major clinical study male middle aged pathophysiology renin angiotensin aldosterone system vitamin vitamin D deficiency vitamin supplementation"
2-s2.0-85032271239, 2 aminocyclopentanecarboxylic acid 8 (pyrene 1 yl)ethynyladenine 8-(pyrene-1-yl)-ethynyladenine Adenine Article DNA binding DNA hybridization DNA sequence DNA strand Fluorescence Fluorescent Dyes Molecular Structure Optical Phenomena Peptide Nucleic Acids Pyrenes Pyrrolidines adenine adenine derivative analogs and derivatives chemical structure chemistry complementary DNA ester fluorescence fluorescent dye graphene oxide light related phenomena nucleic acid base oligonucleotide oligonucleotide probe peptide nucleic acid proline derivative pyrene derivative pyrrolidine derivative pyrrolidinyl peptide nucleic acid synthesis thermostability trinucleotide repeat unclassified drug
