Eid,Index_Terms
2-s2.0-85053164279,304 stainless steel Capacitive behavior Corrosion behavior Corrosion current densities Impedance spectrum Passive film breakdown Pitting potential Potentiodynamic polarization curves
2-s2.0-85049101440,---
2-s2.0-85054140369,"Adolescent Adult Aged Aged, 80 and over Child Diagnostic Techniques and Procedures Female Humans Kyphosis Male Middle Aged Reproducibility of Results Thoracic Vertebrae Young Adult"
2-s2.0-85097515350,---
2-s2.0-85041527766,"Catheterization Cholangiopancreatography, Endoscopic Retrograde Female Humans Male Middle Aged Pancreatitis Postoperative Complications Postoperative Hemorrhage Single-Blind Method"
2-s2.0-85053470598,"Adult Aged Aged, 80 and over Decision Making Female Humans Male Middle Aged Residence Characteristics Socioeconomic Factors Surveys and Questionnaires Thailand Tissue Donors Tissue and Organ Procurement Urbanization"
2-s2.0-85052134000,"Amino Acid Sequence Fructans Hep G2 Cells Humans Hydrogen Bonding Hypercholesterolemia Molecular Dynamics Simulation Protein Conformation, alpha-Helical Solvents"
2-s2.0-85047155505,---
2-s2.0-85050817664,Adult Adult Survivors of Child Adverse Events Advanced Oxidation Protein Products Correlation of Data Depression Female Humans Male Malondialdehyde Mood Disorders Nervous System Oxidative Stress Psychiatric Status Rating Scales Quality of Life Risk Factors Thyrotropin
2-s2.0-85044660689,Acrylonitrile Carboxylated styrene butadiene rubbers Compatibility Cross-link densities Nitrile butadiene rubber Thermal Performance Thermal and mechanical properties Ultrafine
2-s2.0-85045376379,Acute Kidney Injury Adult Critical Care Health Resources Humans Intensive Care Units Middle Aged Nephrology Peritoneal Dialysis Physicians Prospective Studies Renal Dialysis Renal Replacement Therapy Surveys and Questionnaires Thailand Treatment Outcome
2-s2.0-85054527535,---
2-s2.0-85059443311,Accelerated expansion of the universe Compact objects Cosmological constants Gravity model Hydrostatic equilibrium Lower limits Radius ratio Spherical objects
2-s2.0-85020664359,Animals Humans Immune System Microcephaly Nervous System Virulence Zika Virus Zika Virus Infection
