Eid,Agency_Name
2-s2.0-85029781991,Chulalongkorn University Ministry of Education
2-s2.0-85039703338,
2-s2.0-85039924338,Chulalongkorn University Thailand National Organization
2-s2.0-85039922521,Chulalongkorn University
2-s2.0-85039920890,Chulalongkorn University National Research University Thailand National Organization
2-s2.0-85039920812,Chulalongkorn University
2-s2.0-85039922690,
2-s2.0-85039917530,Chulalongkorn University Ministry of Education Thailand National Organization
2-s2.0-85039914805,Chulalongkorn University Thailand National Organization
2-s2.0-85039914338,Burapha University Chulalongkorn University Thailand National Organization
2-s2.0-85039915342,
2-s2.0-85039898441,Chulalongkorn University Thailand National Organization
2-s2.0-85039910610,
2-s2.0-85039907641,
2-s2.0-85039897067,Japan Society for Promotion of Science
2-s2.0-85039709530, HST-AR-12847 Japan Society for Promotion of Science Thailand National Organization
2-s2.0-85038429957,Chulalongkorn University Russian Foundation Russian State Research Thailand National Organization
2-s2.0-85032489556,Fundacion Araucaria
2-s2.0-85032271239,Chulalongkorn University School of Aerospace Science and Technology Thailand National Organization
2-s2.0-85029811763,
2-s2.0-85033555515,"Center Faculty of Medicine, Khon Kaen University Materials Chemistry Research Center Thailand National Organization"
2-s2.0-85021181600,Chulalongkorn University Thailand National Organization
2-s2.0-85041048740,Nationwide Children's Hospital
2-s2.0-85038434704,"Chulalongkorn University Department of Science and Technology, Ministry of Science and Technology Thailand National Organization"
2-s2.0-85028376438,Chulalongkorn University College and Graduate School of Arts and Sciences Nordic Energy Research R.V. Science and Industry Endowment Fund Thailand National Organization
2-s2.0-85040170019,King Mongkut's University Ministry of Science ICT and Future Planning National Research Foundation
2-s2.0-85028470685,
2-s2.0-85052976005,Thailand National Organization
2-s2.0-85032425979,Center Chulalongkorn University National Research University Thailand National Organization
2-s2.0-85049262167,
2-s2.0-85037653422,
2-s2.0-85038597618,"A*STAR Academy Atomic Energy Commission, Pakistan Austrian Science Fund Benemérita Universidad Autónoma de Puebla Bundesministerium für Bildung und Forschung Bundesministerium für Wissenschaft, Forschung und Wirtschaft CERN CNRS-IN2P3 CPAN CS Fund California Earthquake Authority Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional China Natural Science Foundation College of Arts and Sciences, University Consejo Nacional de Ciencia Tecnología Conselho Nacional de Desenvolvimento Científico e Tecnológico Coordenação de Aperfeiçoamento de Pessoal de Nível Superior Departamento Administrativo de Ciencia, Tecnología e Innovación Department of Atomic Energy, Government of India Department of Energy Department of Science and Technology, Government of West Bengal Department of Science and Technology, Ministry of Science and Technology Deutsche Forschungsgemeinschaft ERC IUT European Regional Development Fund Fonds De La Recherche Scientifique - FNRS Fonds Wetenschappelijk Onderzoek Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro Fundação de Amparo à Pesquisa do Estado de São Paulo Fundação para a Ciência e Tecnologia General Secretariat for Research and Innovation Helmholtz-Gemeinschaft Hispanics in Philanthropy Hungarian Scientific Research Fund Institute Instituto Nazionale di Fisica Nucleare Joint Institute LNS Louisiana Academy MESTD MON MSES MSHE Ministry for Business Innovation and Employment Ministry of Education - Singapore Ministry of Education and Science Ministry of Science ICT and Future Planning Missouri University MoER Mountain Equipment Co-operative National Health Research Institute National Research Foundation National Science Foundation Norwegian Sequencing Centre PCTI RAEP Research Promotion Foundation Royal Astronomical Society Russian Foundation Science Foundation Science and Technology Facilities Council Secretaría de Educación Pública Secretaría de Educación Superior, Ciencia, Tecnología e Innovación Secretaría de Estado de Investigación, Desarrollo e Innovación State Atomic Energy Corporation ROSATOM State Fund for Fundamental Research of Ukraine Swiss Funding Agencies TUBITAK ThEPCenter Thailand National Organization Türkiye Atom Enerjisi Kurumu UASLP-FAI Universiti Malaya"
2-s2.0-85028559492,Helse-Vest
