,funding_agency_name,Country
0,Ratchadapisek Sompoch Endowment Fund,Thailand
1,Ministry for Science and Technology of Brazil,Brazil
2,State University of Londrina,Brazil
3,"Department of Chemical Engineering, Chulalongkorn University",Thailand
4,"Dow Chemical (Thailand), Ltd.",Thailand
5,"PTT Phenol Co., Ltd.",Thailand
7,GSRT (Greece)GSRT,Greece
8,Provincial Electricity Authority,Thailand
9,A. P. Sloan Foundation,United States
10,Austrian Federal Ministry of Science,Austria
11,Consorzio per la Fisica,Italy
12,Desarrollo e Innovación and Programa Consolider-Ingenio 2010,Spain
13,Helsinki Institute of Physics,Finland
14,Institute for Studies in Theoretical Physics and Mathematics,Iran
15,Mexican Funding Agencies,Mexico
16,National Innovation Office,Hungary
17,Republic of Korea,South Korea
18,Secretaría de Estado de Investigación,Spain
19,Centre for Advanced Studies in Tropical Natural Resources,Malaysia
20,100th Anniversary Chulalongkorn University,Thailand
21,CU-CLUSTER fund of Chulalong-korn University,Thailand
22,Boston Scientific Foundation,United States
23,US National Institutes of Health,United States
24,Veterans Affairs Puget Sound Health Care System,United States
25,COL-CIENCIAS,Colombia
26,Excellence of Science,Poland
27,FRIA-Belgium,Belgium
28,IWT-Belgium,Belgium
29,MESTD,Serbia
30,Programa Estatal de Fomento de la Investigación Científica y Técnica de Excelencia María de Maeztu,Spain
31,Swiss Funding Agencies,Switzerland
32,TUBITAK,Turkey
33,UASLP-FAI,Mexico
34,Ratchadaphiseksomphot Endowment Fund,Thailand
35,Royal Thai Government,Thailand
36,Health System Research Institute,Thailand
37,Prince of Songkla University National Research Council of Thailand,Thailand
38,Royal College of Anesthesiologists of Thailand,Thailand
39,Siriraj Hospital and Ramathibodi Hospital,Thailand
40,Pork Checkoff,United States
41,Hundred Excellent Innovative Talents Support Program in Hebei Province,China
42,National Science Foundation for Distinguished Young Scholars for Hebei Province of China,China
43,Thai Government Budget,Thailand
44,The Energy Conservation Promotion Fund,Thailand
45,Chula-longkorn Academic Advancement,Thailand
46,DPST,Thailand
47,Thailand Research Fund/Office of the Higher Education Commission,Thailand
48,Polish Ministry of Science and Higher Education,Poland
49,Polish National Science Centre,Poland
50,Beasiswa Unggulan,Indonesia
51,Health and Human Services Administration of Developmental Disabilities,United States
52,"Ministry of National Education, Government of Indonesia",Indonesia
53,National Institute of Health,United States
54,European Union’s Horizon 2020,Belgium
55,Ministry of Science and Culture of Lower Saxony,Germany
56,Niedersachsen-Research Network on Neuroinfectiology,Germany
57,"Cantons of Bern, Geneva and Zurich",Switzerland
58,Chulalongkorn Academic,Thailand
60,Investissements d’Avenir Labex,France
61,MSMT,Czech Republic
62,Qatar NRF,Qatar
63,RGC,Hong Kong
64,Région Auvergne,France
65,UniZH,Switzerland
66,Wallenberg Foundation,Sweden
67,Bangchak Petroleum PLC.,Thailand
68,"Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",Thailand
69,US Department of Defense,United States
70,Japan Advanced Institute of Science and Technology,Japan
71,Thailand Research and Technology,Thailand
72,"Western Digital (Thailand) Company, Ltd.",Thailand
73,Chulalongkorn Academic Advancement,Thailand
74,L’Oreal (Thailand) Ltd,Thailand
75,NRCT-JSPS,Thailand
76,National Wildlife Research Center,United States
77,"Center of Excellence on Petrochemicals and Materials Technology, Chulalongkorn University",Thailand
78,"CU Graduate School Thesis Grant, Chulalongkorn University",Thailand
79,Huvepharma (Thailand) Ltd,Thailand
80,Thammasat University Research Fund,Thailand
81,Sahamongkol Film International Company Limited,Thailand
82,US-Thai,United States
83,Hymenoptera Institute of Kentucky,United States
84,National Science Foundation Advancing Revisionary Taxonomy and Systematics,United States
