_id,funding_agency_name,Country
6752a781f70a6504336c172a,Surface Coatings Technology for Metals and Materials Research Unit,Thailand
6752a782f70a6504336c172b,Nakhon Ratchasima,Thailand
6752a783f70a6504336c172c,Government Annual Research Budget,None
6752a783f70a6504336c172d,Bangkok Synthetics Co.,Thailand
6752a784f70a6504336c172e,CPAN,None
6752a785f70a6504336c172f,MSES,None
6752a785f70a6504336c1730,MoER,None
6752a786f70a6504336c1731,PCTI,None
6752a787f70a6504336c1732,STAR,Germany
6752a788f70a6504336c1733,EE-KU,Thailand
6752a789f70a6504336c1734,Faculty of Engineering KU,Thailand
6752a789f70a6504336c1735,National Scientific Research Foundation,None
6752a78bf70a6504336c1736,State Fund for Fundamental Researches,Ukraine
6752a78bf70a6504336c1737,Sompoch Endowment Fund,Thailand
6752a78cf70a6504336c1738,Cluster and Program Management Office,Thailand
6752a78df70a6504336c1739,NRU-KU,Thailand
6752a78df70a6504336c173a,National Research University,Russia
6752a78ef70a6504336c173b,Allergan and Merz Pharma,United States and Germany
6752a78ff70a6504336c173c,Nano-Cosmeceuticals Laboratory,Thailand
6752a790f70a6504336c173d,ERC IUT,France
6752a791f70a6504336c173e,LNS,United States
6752a791f70a6504336c173f,MON,Thailand
6752a792f70a6504336c1740,MSHE,Russia
6752a793f70a6504336c1741,TRF-Rubber,Thailand
6752a793f70a6504336c1742,Research and Academic Affairs Promotion Fund,Thailand
6752a794f70a6504336c1743,Development and Promotion of Science and Technology Talents Project,Thailand
6752a795f70a6504336c1744,COSMICISM,None
6752a796f70a6504336c1745,S.T.,None
6752a796f70a6504336c1746,Veterinary Science Research Fund,Thailand
6752a797f70a6504336c1747,Ministry of Energy,Thailand
6752a798f70a6504336c1748,Institute of Biotechnology,None
6752a798f70a6504336c1749,Benoziyo Center,Israel
6752a799f70a6504336c174a,CIN-VESTAV,Mexico
6752a79af70a6504336c174b,DNSRC,None
6752a79bf70a6504336c174c,EU Regional Development Fund,European Union
6752a79cf70a6504336c174d,MSSR,None
6752a79cf70a6504336c174e,RAEP,None
6752a79df70a6504336c174f,VSC CR,Czech Republic
6752a79ef70a6504336c1750,CU Graduate School Thesis,Thailand
6752a79ff70a6504336c1751,TRF-CHE,Thailand
6752a7a0f70a6504336c1752,Research and Development Fund,Thailand
6752a7a0f70a6504336c1753,TRF International Research Network Program,Thailand
6752a7a1f70a6504336c1754,National Research University Project,Russia
6752a7a2f70a6504336c1755,Center of Excellence on Medical Biotechnology,Thailand
6752a7a3f70a6504336c1756,PERDO,Thailand
6752a7a3f70a6504336c1757,S&T Postgraduate Education and Research Development Office,Thailand
6752a7a5f70a6504336c1758,Center of Excellence in Clinical Virology,Thailand
6752a7a5f70a6504336c1759,"Discipline of Excellence in Department of Chemical Engineering, Department of Chemical Engineering",None
6752a7a6f70a6504336c175a,Rachadapisaek Sompote,Thailand
6752a7a7f70a6504336c175b,Center of Excellence in Materials Science and Technology,Thailand
6752a7a7f70a6504336c175c,PERCH,Thailand
6752a7a8f70a6504336c175d,ARTS,None
6752a7a9f70a6504336c175e,Office of International Affairs and Global Network,Thailand
6752a7aaf70a6504336c175f,PREDICT,United States
6752a7acf70a6504336c1760,ThEPCenter,Thailand
6752a7adf70a6504336c1761,Elite Asia Interpreters and Ifop-Asia,Thailand
6752a7aef70a6504336c1762,Ministry of Public Health,Thailand
6752a7aff70a6504336c1763,Excellent Center in Regenerative Dentistry,Thailand
6752a7b1f70a6504336c1764,LPG,None
6752a7b2f70a6504336c1765,University Hospital and Laboratory of Research and Graduate College Hospital,None
6752a7b2f70a6504336c1766,Institute of Earth Sciences,None
6752a7b3f70a6504336c1767,Institute of Geosciences (Gemstone Research Center,Thailand
6752a7b4f70a6504336c1768,Faculty of Science and Technology,Thailand
6752a7b5f70a6504336c1769,Faculty of Science and Technology Research Fund,Thailand
6752a7b5f70a6504336c176a,Research and Creative Fund,Thailand
6752a7b6f70a6504336c176b,Center of Excellence in Catalysis for Bioenergy and Renewable Chemicals,Thailand
6752a7b7f70a6504336c176c,CUAASC,None
6752a7b8f70a6504336c176d,Chemical Approaches for Food Applications Research Group,None
6752a7b9f70a6504336c176e,SKLWUT,China
6752a7baf70a6504336c176f,Center of Excellence on Petrochemical and Materials Technology,Thailand
6752a7bbf70a6504336c1770,Osteoarthritis and Musculoskeleton Research Unit,Thailand
6752a7bcf70a6504336c1771,FP7/2007,European Union
6752a7bdf70a6504336c1772,Rachadapisek Sompot Fund for,Thailand
6752a7bdf70a6504336c1773,bureau foundation,None
6752a7bef70a6504336c1774,Megumi Yatabe,None
6752a7bef70a6504336c1775,ANR-09-BLAN-0238-02,France
