Agency_Name,Mapped_Name,Country
100 Anniversary Chulalongkorn University,100 Anniversary Chulalongkorn University,Thailand
100-year-old Chulalongkorn University,100-year-old Chulalongkorn University,Thailand
100th Anniversary Chulalongkorn University,100th Anniversary Chulalongkorn University,Thailand
100th Anniversary Chulalongkorn University Fund for Doctoral Scholarship,100th Anniversary Chulalongkorn University,Thailand
100th Anniversary Chulalongkorn University for Doctoral Scholarship,100th Anniversary Chulalongkorn University,Thailand
100th Chula-longkorn University,100th Chula-longkorn University,Thailand
100th Chulalongkorn University,100th Chulalongkorn University,Thailand
100th Chulalongkorn University for Doctoral Scholarship,100th Chulalongkorn University,Thailand
100thAnniversary Chulalongkorn University,100thAnniversary Chulalongkorn University,Thailand
100thAnniversary Chulalongkorn University for Doctoral Scholarship,100thAnniversary Chulalongkorn University,Thailand
111 Project,111 Project,China
111 of the State Bureau of Foreign Experts,111 of the State Bureau of Foreign Experts,China
19th Chulalongkorn University Veterinary Conference,19th Chulalongkorn University,Thailand
3M Thailand Ltd.,Thailand National Organization,Thailand
"4Chulalongkorn Business School, Chulalongkorn University","4Chulalongkorn Business School, Chulalongkorn University",Thailand
90-year Chulalongkorn University,90-year Chulalongkorn University,Thailand
90th Anniversary Chulalongkorn University Fund,90th Anniversary Chulalongkorn University,Thailand
90th Year Chulalongkorn Fund,Chulalongkorn University,Thailand
90th Year Chulalongkorn Scholarship,Chulalongkorn University,Thailand
90th Year Chulalongkorn University,Chulalongkorn University,Thailand
90thAnniversary Chulalongkorn University,90thAnniversary Chulalongkorn University,Thailand
973 Program,973 Program,China
A'Sharqiyah University,A'Sharqiyah University,Oman
A*STAR,A*STAR,Singapore
A-STEP,A-STEP,Japan
A. P. Sloan Foundation,A. P. Sloan Foundation,United States
A.F. Goodrich Chemicals Co.,A.F. Goodrich Chemicals Co.,United States
A.G. Leventis Foundation,A.G. Leventis Foundation,Cyprus
A.P. Moeller Foundation,A.P. Moeller Foundation,Denmark
A.P. Sloan Foundation,A. P. Sloan Foundation,United States
AAAAI,AAAAI,United States
AAPG,AAPG,United States
AARC,AARC,United States
AB Enzymes,AB Enzymes,Germany
ACCMS,ACCMS,Japan
ACECR,ACECR,Iran
ACROP Committee of ESTRO,ACROP Committee of ESTRO,Belgium
ACTG,ACTG,Australia
AChE,AChE,United States
ADA,ADA,India
ADS,ADS,Australia
AEC,AEC,Taiwan
AEF,AEF,United Kingdom
AEI,AEI,Spain
AEI,AEI,Australia
AEI/FEDER,AEI/FEDER,Portugal
AEI/FEDER UE,AEI/FEDER UE,Spain
AEI/FEDER/UE,AEI/FEDER UE,Spain
AF Goodrich Chemical Co.,AF Goodrich Chemical Co.,United States
AFC,AFC,Canada
AFHSC-GEIS,AFHSC-GEIS,United States
AFM,AFM,France
AFOSR,AFOSR,United States
AFOSR/AOARD,AFOSR/AOARD,United States
AFRIMS,AFRIMS,United States
AGAUR,AGAUR,Spain
AHRQ,AHRQ,United States
AIAS-COFUND,AIAS-COFUND,Denmark
"AICA Co., Ltd.",Thailand National Organization,Thailand
AIDS+ Austria,AIDS+ Austria,Austria
AIL Milano e Provincia ONLUS,AIL Milano e Provincia ONLUS,Italy
AIMI,AIMI,United States
AIP,AIP,Germany
AIST,AIST,Japan
AIT,Thailand National Organization,Thailand
AJ Plast Public Company Limited,Thailand National Organization,Thailand
AKUATROP,AKUATROP,Malaysia
ALCA,ALCA,Japan
AMBA,AMBA,United States
AMED,AMED,Japan
AMED CREST,AMED CREST,Japan
AMED Research programe on Regulatory Science,AMED Research programe on Regulatory Science,Japan
"AMERI-ASIA MED CO, Ltd.",Thailand National Organization,Thailand
"AMERI-ASIA MED Co., Ltd.",Thailand National Organization,Thailand
AMI,AMI,France
AMICULUM Asia,AMICULUM Asia,Singapore
AMON,AMON,United States
ANAS,ANAS,Azerbaijan
ANAS,ANAS,United States
ANID,ANID,Chile
ANID-Chile,ANID-Chile,Chile
ANP,ANP,Brazil
ANPCyT,ANPCyT,Argentina
ANR,ANR,France
ANR Labex IAST,ANR Labex IAST,France
ANR-09-BLAN-0238-02,ANR-09-BLAN-0238-02,France
ANR-16-CE92-0018,ANR-16-CE92-0018,France
ANRT,ANRT,France
AOARD,AOARD,Japan
AP-HP Sorbonne University,AP-HP Sorbonne University,France
APASL,APASL,Japan
APC,APC,South Africa
APCC,Thailand National Organization,Thailand
APHP,APHP,France
ARC,ARC,United States
ARC,ARC,Australia
ARC,ARC,France
ARC Centre of Excellence for Core to Crust Fluid Systems,ARC Centre of Excellence for Core to Crust Fluid Systems,Australia
ARCS Foundation Oregon,ARCS Foundation,United States
ARDA,Thailand National Organization,Thailand
ARRS,ARRS,Slovenia
ASAHI GLASS FOUNDATION,ASAHI GLASS FOUNDATION,Japan
ASAHI Glass Foundation,ASAHI GLASS FOUNDATION,Japan
ASEAN,ASEAN,Indonesia
ASEAN European Academic University Network,ASEAN European Academic University,Austria
ASEAN European Academic University Network,ASEAN European Academic University,Thailand
ASEAN Science Technology and Innovation Fund,ASEAN Science Technology and Innovation Fund,China
ASEAN University Network,ASEAN University,Thailand
ASEAN University Network/Southeast,ASEAN University,Thailand
ASEAN University Network/Southeast Asia Engineering Education Development Network,ASEAN University,Thailand
ASEAN-European Academic University Network,ASEAN European Academic University,Austria
ASGC (Taiwan),ASGC (Taiwan),Taiwan
ASIA,ASIA,United States
