Eid,Abstract
2-s2.0-85029781991,"An experimental program was carried out to investigate the shear capacity of High-Performance Fiber-Reinforced Concrete (HPFRC) I-beams. The main parameters were assigned as the fiber content and presence of shear reinforcement. To study the effect of these main parameters on the shear capacity, testing of six I-beams and other control specimens was conducted. It can be observed from the results of the experimental study that the presence of fibers and shear reinforcement significantly improves the ultimate capacity and structural behavior of HPFRC members. Finally, the experimental results are discussed, and the shear capacity of HPFRC can be estimated by extending the code provisions stated in AFGC-Sétra 2013. © 2017 Elsevier Ltd"
2-s2.0-85039703338,"Background: The conversion of the epithelial phenotype of cancer cells into cells with a mesenchymal phenotype-so-called epithelial-mesenchymal transition (EMT)-has been shown to enhance the capacity of the cells to disseminate throughout the body. EMT is therefore becoming a potential target for anti-cancer drug discovery. Here, we showed that phoyunnanin E, a compound isolated from Dendrobium venustum, possesses anti-migration activity and addressed its mechanism of action. Methods: The cytotoxic and proliferative effects of phoyunnanin E on human non-small cell lung cancer-derived H460, H292, and A549 cells and human keratinocyte HaCaT cells were investigated by MTT assay. The effect of phoyunnanin E on EMT was evaluated by determining the colony formation and EMT markers. The migration and invasion of H460, H292, A549 and HaCaT cells was evaluated by wound healing assay and transwell invasion assay, respectively. EMT markers, integrins and migration-associated proteins were examined by western blot analysis. Results: Phoyunnanin E at the concentrations of 5 and 10 μM, which are non-toxic to H460, H292, A549 and HaCaT cells showed good potential to inhibit the migratory activity of three types of human lung cancer cells. The anti-migration effect of phoyunnanin E was shown to relate to the suppressed EMT phenotypes, including growth in anchorage-independent condition, cell motility, and EMT-specific protein markers (N-cadherin, vimentin, slug, and snail). In addition to EMT suppression, we found that phoyunnanin E treatment with 5 and 10 μM could decrease the cellular level of integrin αv and integrin β3, these integrins are frequently up-regulated in highly metastatic tumor cells. We further characterized the regulatory proteins in cell migration and found that the cells treated with phoyunnanin E exhibited a significantly lower level of phosphorylated focal adhesion kinase (p-FAK) and phosphorylated ATP-dependent tyrosine kinase (p-AKT), and their downstream effectors (including Ras-related C3 botulinum (Rac-GTP); Cell division cycle 42 (Cdc42); and Ras homolog gene family, member A (Rho-GTP)) in comparison to those of the non-treated control. Conclusions: We have determined for the first time that phoyunnanin E could inhibit the motility of lung cancer cells via the suppression of EMT and metastasis-related integrins. This new information could support further development of this compound for anti-metastasis approaches. © 2017 The Author(s)."
2-s2.0-85039924338,"Effect of hydrogen and alkoxysilanes as external donor were investigated using two commercial Ziegler-Natta catalysts (TiCl4/MgCl2•nEtOH and TiCl4/phthalate type/MgCl2) in ethylene polymerization. These catalysts were analyzed by EDX, FTIR and XRD measurements. Furthermore, catalytic activity was tested. According to the results, when alkoxysilane was introduced into the system, catalytic activity reduced. Compared these two alkoxysilanes, cyclohexylmethyldimethoxysilane (CHMDMS) can decrease activity more than dimethoxydimethylsilane (DMDMS) did. This was because CHMDMS has more bulky hydrocarbon groups than DMDMS. This led to restrict the direction of monomer insertion to active sites. In addition, when hydrogen was added into the system, CHMDMS is more sensitive to hydrogen than DMDMS. However, CHMDMS showed lower hydrogen response than DMDMS with increased hydrogen concentration. This was owing to its hydrogen sensitivity. Among the two catalysts, catalyst having internal donor can decrease sensitivity of catalyst activity in the system with hydrogen. The obtained polymers were further characterized by DSC and GPC. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039922521,"This paper focuses on the applying the Analytic Hierarchy Process (AHP) to Integrated Water Resource Management (IWRM) to develop a model for water resource management in the Pranburi watershed by using stakeholder participation. The hierarchy model structure of the Pranburi watershed was developed by the experts based on IWRM and classified into 4 criteria, 15 sub-criteria, and 3 alternatives. The questionnaire method was the tool used for obtaining a weighing for comparison between the pairs of criteria obtained from community representatives. The finding revealed that the important criteria are the environmental factors. The highest ranked of the alternatives is the watershed planning strategy. These results implied that community focused stakeholder participation in the decision-making process for water resources in Pranburi watershed gave a positive outcome. This research clearly presented the capability of the AHP approach integrates with IWRM principle for water resource planning. The AHP approach can analyze the community representative’s relevant data before decision making, by applying pairwise comparison of the AHP technique, can reduce bias during decision making. More importantly, the government should support collaboration with local officers and the community in the decision making policy on water resource planning. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039920890,"We developed a robot, CUREs (Chulalongkorn University Rehabilitation Robotic Exoskeleton system), for upper extremity rehabilitation. The active assistive control strategy based on the impedance force control is developed and implemented to obtain assistive-resistive paths tracking for rehabilitation activities. The desired trajectory or rehabilitated training pattern for each specific patient need to be assigned first by a medical doctor and a physical therapy. The therapist can program the desired trajectory by guiding the patient arm based on the assigned path pattern and the set of via points will be stored and used for generating the desired trajectory. The desired trajectory will be stored specific for the patient and can be called back anytime. During the rehabilitation, the robot can assist and resist the patient’s arm to follow the desired trajectory. If the patient has difficulty moving his arm to track the desired path, the robot will help by adding more torque to help the patient to move his arm to reduce the error between the desired path and the actual posture. And if the patient himself can move his arm tracking the desired path, the robot will not apply any more force to assist or resist. The necessary state variables such as angular position and torque can be recorded during the training. The main purpose of the experiment, follow the medical ethic, is to assure that there is no side effect for using this rehabilitation robot. Five subacute stroke patients participated in this pilot study. All patients have severe upper extremity weakness. The medical doctor will assign the training pattern based on patient condition. The result showed that the Fugl-Meyer Assessment Upper Extremity Scale was improved after 10 days of training in all participants without any sign of side effect. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039920812,"Gear tooth strength is mainly considered in gear design to ensure the ability to transmit power. With the design process, various sets of gear parameters are probably selected to meet the tooth strength. However the efficiencies of various designed gears are different. Improper gear parameter selection probably makes the gear power loss increase significantly. In this paper, the design methodology to minimize gear power loss is presented. A spur gear selected from a catalogue is used as the reference gear. Then several gears with various parameters but having the ability to transmit the same load are designed. The power losses of the designed and the reference gears are estimated by the sliding loss model, hence the minimum power loss gear is able to choose from the various designed gear set.s Both analytical and experimental results show that to minimize gear power loss along with keeping loading capacity, pressure angle should be increased and module should be reduced. The effect of this design methodology on vibration characteristics is also investigated by measuring the vibration attributed to the sample gear sets. It is found that the helical gear having large pressure angle, wide face width and having helix angle about 10° to 20° is favorable, since it has more capability to transmit load, lower power loss and also lower vibration than the reference spur gear. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039922690,"Pairwise testing is a widely used technique for software testing with the reduced size of the test suite and able to detect interactions that trigger the system’s faults. In addition, pairwise testing test suites must be able to take constraints between input parameters and parameter values into account. In current practice, identifying and selecting input parameters and parameter values usually depends on tester skills that might not be sufficient. Input parameters and parameter values modeling and tools for easily guiding and prioritizing the selection of optimal input parameters and parameter values for the SUT is also required. In this work, we present an approach for prioritizing input parameters and parameter values modeling using statistical user profile. Our approach is implemented in a tool called UPPTCT which provides the ability to handle constraints on input parameters and parameter values for pairwise testing in order to generate test cases. We conduct experiments to evaluate test case effectiveness and compare our tool with other renowned pairwise test generation and constraints handling tools. The experimental results show that the effectiveness of our approach is significantly more efficient and effective than random testing as a large portion of reported defects with regard to statically user profile were caught by our approach. Furthermore, our tool performs better in some cases and performs comparable results for generating test cases upon input parameters and parameter values for both with constraints handling and without constraints handling. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039917530,"After a severe fire, concrete structures are generally capable of being repaired rather than demolished. To determine whether the fire-damaged structure can be repaired, an assessment of structural integrity must be conducted. In this research, a laboratory assessment of fire-damaged reinforced concrete (RC) slabs was carried out by using Destructive Testing (DT) and Non-Destructive Testing (NDT) techniques. The study aimed to evaluate the depth of damaged concrete in RC slabs exposed to fire for different periods of time (30, 60, 90 and 120 minutes) based on the correlation between the experimental results of DT and NDT methods. The experiment was conducted with two concrete grades of 24 and 35 MPa. Limestone aggregates were used in this study. The experimental results indicated that 30 minutes of heating time did not show severe effects on reinforced concrete slabs in comparison with the other cases. A damaged concrete layer of 30 - 45 mm was observed for slabs exposed to fire in 60 and 90 minutes. Besides, 24 MPa slabs also showed a lower damage level compared with 35 MPa slabs. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039914805,"In the present work, the effects of Ti addition on the characteristics and catalytic properties of the different silica-based supported nickel (Ni) catalysts were investigated. The different supports, such as the spherical silica particle (SSP), MCM41, TiSSP, and TiMCM were synthesized and used to prepare the Ni catalysts having 20 wt% of Ni loading for CO2 hydrogenation under methanation. The different supports and catalysts were characterized by means of N2 physorption, XRD, SEM/EDX, XPS, TPR, and CO chemisorption. The TiO2 was present in the anatase form after catalyst calcination. The addition of Ti can play important roles on the characteristics and catalytic properties of Ni catalysts by: (i) facilitating the reduction of Ni oxides species strongly interacted with support, (ii) preventing the formation of silicate compounds, and (iii) promoting the CO and CO2 dissociation resulting in complete inhibition of the reverse water-gas shift (RWGS) reaction, especially at high temperature. Based on CO2 hydrogenation, the NiTiMCM exhibited the highest activity and stability. © 2017, Chulalongkorn University. All rights reserved."
2-s2.0-85039914338,"A main difficult task in batch crystallization is to control the size distribution of crystal products. Complexity and highly nonlinear dynamic behavior directly affect to model-based control strategies which heavily depend on the rigorous knowledge of crystallization. In this work, neural network-based model predictive control and inverse neural network control strategies are proposed and integrated with an optimization based on neural network-based hybrid model to control temperatures of a purified terephthalic acid batch crystallizer. A neural network-based hybrid model of the batch crystallizer is developed to provide nonlinear dynamic responses used in optimization algorithm for finding an optimal temperature profile related to the quality of a crystal product. Then, the obtained optimal profile is used as set points of the proposed control strategies for improving the crystal product quality. The performances and robustness of the proposed controllers are evaluated in several cases such as for set point tracking and plant/model mismatches. Simulation results show that the neural network-based model predictive control gives the best control performance among the inverse neural network control and a conventional PID controller in all cases. © 2017, Chulalongkorn University. All rights reserved."
