,Eid,Funding_Count,Has_Funding,Has_Cite-By,Subtype,Publish_year,Publish_month,Cite-By_Count
0,2-s2.0-85053164279,7,1,1,Article,2018.0,10.0,11.0
2,2-s2.0-85054140369,3,1,1,Article,2018.0,12.0,11.0
4,2-s2.0-85041527766,0,0,1,Article,2018.0,6.0,14.0
6,2-s2.0-85053470598,5,1,1,Article,2018.0,3.0,4.0
8,2-s2.0-85052134000,3,1,1,Article,2018.0,8.0,4.0
10,2-s2.0-85047155505,6,1,1,Article,2018.0,6.0,1.0
12,2-s2.0-85050817664,4,1,1,Article,2018.0,8.0,20.0
14,2-s2.0-85044660689,7,1,1,Article,2018.0,4.0,15.0
16,2-s2.0-85045376379,4,1,1,Article,2018.0,8.0,11.0
18,2-s2.0-85054527535,97,1,1,Article,2018.0,10.0,21.0
20,2-s2.0-85047007592,8,1,1,Article,2018.0,6.0,12.0
22,2-s2.0-85060184892,2,1,1,Article,2018.0,11.0,2.0
24,2-s2.0-85048387514,2,1,1,Article,2018.0,9.0,3.0
26,2-s2.0-85039449530,2,1,1,Article,2018.0,3.0,16.0
28,2-s2.0-85047618371,2,1,1,Article,2018.0,5.0,41.0
30,2-s2.0-85049207535,6,1,1,Article,2018.0,3.0,11.0
32,2-s2.0-85058885422,5,1,1,Article,2018.0,12.0,8.0
34,2-s2.0-85045554892,5,1,1,Article,2018.0,10.0,2.0
36,2-s2.0-85054972627,4,1,1,Article,2018.0,10.0,21.0
38,2-s2.0-85038867462,3,1,1,Article,2018.0,4.0,16.0
40,2-s2.0-85049655427,2,1,1,Article,2018.0,6.0,4.0
42,2-s2.0-85040547931,6,1,1,Article,2018.0,1.0,37.0
44,2-s2.0-85044339398,0,0,1,Article,2018.0,2.0,5.0
46,2-s2.0-85041748957,95,1,1,Article,2018.0,1.0,35.0
48,2-s2.0-85048179306,2,1,1,Article,2018.0,10.0,12.0
50,2-s2.0-85057601344,7,1,1,Article,2018.0,12.0,2.0
52,2-s2.0-85047167635,2,1,1,Article,2018.0,5.0,45.0
54,2-s2.0-85042389036,3,1,1,Article,2018.0,3.0,5.0
56,2-s2.0-85049301587,0,0,1,Article,2018.0,6.0,2.0
58,2-s2.0-85041495380,9,1,1,Article,2018.0,4.0,61.0
60,2-s2.0-85037621941,4,1,1,Article,2018.0,11.0,13.0
62,2-s2.0-85057626112,2,1,1,Article,2018.0,12.0,35.0
64,2-s2.0-85056320658,4,1,1,Article,2018.0,11.0,18.0
66,2-s2.0-85032511738,6,1,1,Article,2018.0,1.0,13.0
68,2-s2.0-85041557278,6,1,1,Article,2018.0,1.0,1.0
70,2-s2.0-85052839755,100,1,1,Article,2018.0,8.0,93.0
72,2-s2.0-85048495781,3,1,1,Article,2018.0,3.0,15.0
74,2-s2.0-85045281768,4,1,1,Article,2018.0,6.0,6.0
76,2-s2.0-85042553922,4,1,1,Article,2018.0,6.0,51.0
78,2-s2.0-85055049678,2,1,1,Article,2018.0,12.0,12.0
80,2-s2.0-85055441994,11,1,0,Article,2018.0,10.0,0.0
82,2-s2.0-85052636861,3,1,1,Article,2018.0,10.0,14.0
84,2-s2.0-85063205666,5,1,1,Article,2018.0,10.0,29.0
86,2-s2.0-85046876678,12,1,1,Article,2018.0,8.0,52.0
88,2-s2.0-85047194755,2,1,1,Article,2018.0,6.0,3.0
90,2-s2.0-85027562644,0,0,1,Article,2018.0,1.0,14.0
92,2-s2.0-85043485030,2,1,1,Article,2018.0,1.0,15.0
94,2-s2.0-85039846745,0,0,1,Article,2018.0,2.0,2.0
96,2-s2.0-85047729577,0,0,1,Article,2018.0,5.0,30.0
98,2-s2.0-85058935797,3,1,1,Article,2018.0,12.0,18.0
100,2-s2.0-85050968237,3,1,1,Article,2018.0,10.0,12.0
102,2-s2.0-85057847743,6,1,0,Article,2018.0,5.0,0.0
104,2-s2.0-85057520893,0,0,0,Article,2018.0,9.0,1.0
106,2-s2.0-85041230497,2,1,1,Article,2018.0,2.0,29.0
108,2-s2.0-85047013666,10,1,1,Article,2018.0,12.0,55.0
110,2-s2.0-85051208796,3,1,1,Article,2018.0,9.0,17.0
112,2-s2.0-85037147132,4,1,1,Article,2018.0,1.0,37.0
114,2-s2.0-85041680827,4,1,1,Article,2018.0,3.0,25.0
116,2-s2.0-85053778287,2,1,1,Article,2018.0,11.0,14.0
118,2-s2.0-85042128317,6,1,1,Article,2018.0,7.0,5.0
120,2-s2.0-85048940239,3,1,1,Article,2018.0,4.0,17.0
122,2-s2.0-85049118943,0,0,1,Article,2018.0,8.0,1.0
124,2-s2.0-85042655838,3,1,1,Article,2018.0,1.0,6.0
126,2-s2.0-85048748130,146,1,1,Article,2018.0,1.0,20.0
128,2-s2.0-85041960467,6,1,1,Article,2018.0,2.0,14.0
130,2-s2.0-85044456392,2,1,1,Article,2018.0,5.0,12.0
132,2-s2.0-85074965846,0,0,1,Article,2018.0,4.0,5.0
134,2-s2.0-85041861788,0,0,1,Article,2018.0,5.0,2.0
136,2-s2.0-85060154185,2,1,1,Article,2018.0,11.0,1.0
138,2-s2.0-85022071002,8,1,1,Article,2018.0,9.0,9.0
140,2-s2.0-85026847132,4,1,1,Article,2018.0,2.0,3.0
142,2-s2.0-85041720090,3,1,1,Article,2018.0,3.0,33.0
144,2-s2.0-85042707817,3,1,1,Article,2018.0,6.0,70.0
146,2-s2.0-85055491350,3,1,1,Article,2018.0,12.0,24.0
148,2-s2.0-85054410604,0,0,1,Article,2018.0,10.0,24.0
150,2-s2.0-85046413510,5,1,1,Article,2018.0,5.0,7.0
152,2-s2.0-85041727486,4,1,1,Article,2018.0,2.0,20.0
