source,target,weight
Ad Hoc Committee on PRP,Australia,1
Ad Hoc Committee on PRP,Canada,1
Ad Hoc Committee on PRP,Italy,1
Ad Hoc Committee on PRP,Thailand,1
Ad Hoc Committee on PRP,United States,1
Algeria,Belgium,1
Algeria,France,2
Algeria,Germany,1
Algeria,Malaysia,5
Algeria,Switzerland,1
Algeria,Thailand,8
Algeria,United Kingdom,1
Algeria,United States,1
Argentina,Australia,9
Argentina,Austria,5
Argentina,Bangladesh,2
Argentina,Belgium,1
Argentina,Bolivia,6
Argentina,Brazil,9
Argentina,Canada,5
Argentina,Chile,2
Argentina,Colombia,2
Argentina,Costa Rica,1
Argentina,France,2
Argentina,Germany,4
Argentina,Honduras,2
Argentina,Hong Kong,2
Argentina,India,6
Argentina,Iran,1
Argentina,Israel,1
Argentina,Italy,1
Argentina,Japan,2
Argentina,Malaysia,1
Argentina,Mexico,6
Argentina,Nigeria,1
Argentina,Pakistan,2
Argentina,Peru,1
Argentina,Poland,1
Argentina,Saudi Arabia,2
Argentina,Singapore,2
Argentina,South Africa,6
Argentina,Spain,1
Argentina,Switzerland,5
Argentina,Thailand,17
Argentina,United Kingdom,8
Argentina,United States,19
Argentina,Uruguay,3
Argentina,Viet Nam,1
Armenia,Australia,1
Armenia,Austria,515
Armenia,Belgium,2
Armenia,Brazil,2
Armenia,Cambodia,1
Armenia,China,2
Armenia,Colombia,1
Armenia,Croatia,1
Armenia,Egypt,1
Armenia,Ethiopia,1
Armenia,France,1
Armenia,Germany,1
Armenia,India,6
Armenia,Ireland,1
Armenia,Israel,1
Armenia,Malaysia,1
Armenia,Namibia,1
Armenia,Norway,1
Armenia,Pakistan,4
Armenia,Poland,1
Armenia,Russian Federation,1
Armenia,Saudi Arabia,4
Armenia,South Africa,1
Armenia,Sweden,1
Armenia,Thailand,8
Armenia,Turkey,3
Armenia,United Kingdom,1
Armenia,United States,2
Armenia,Viet Nam,2
Armenia,Zambia,1
Australia,Austria,8
Australia,Bangladesh,10
Australia,Belgium,24
Australia,Bolivia,8
Australia,Brazil,108
