source,target,weight
United States,United States,1465474
Italy,United States,907908
Italy,Italy,628978
Turkey,United States,436990
India,United States,343447
Russian Federation,United States,314618
Italy,Turkey,309280
South Korea,United States,249484
China,United States,234904
India,Italy,228697
Italy,Russian Federation,214082
United Kingdom,United States,194898
Germany,United States,182799
Turkey,Turkey,174938
France,United States,165971
Brazil,United States,161577
Italy,South Korea,160650
Spain,United States,153124
Mexico,United States,148663
Belgium,United States,136674
China,Italy,127998
India,Turkey,122158
Italy,United Kingdom,121219
Switzerland,United States,118165
Hungary,United States,115354
Russian Federation,Turkey,111430
Brazil,Italy,109773
Egypt,United States,108005
Greece,United States,106941
France,Italy,101014
Germany,Italy,100996
Italy,Mexico,94126
Italy,Spain,91325
Belgium,Italy,90362
Poland,United States,88526
India,India,87844
United Kingdom,United Kingdom,86466
India,Russian Federation,81623
Finland,United States,81230
South Korea,Turkey,79172
Croatia,United States,78409
Hungary,Italy,77878
Italy,Switzerland,77723
Iran,United States,76127
Egypt,Italy,76055
Russian Federation,Russian Federation,74764
Thailand,Thailand,74460
Greece,Italy,73202
China,China,72286
Austria,United States,70770
Taiwan,United States,65880
India,South Korea,61906
Brazil,Turkey,58678
China,Turkey,57660
Italy,Poland,56776
Russian Federation,South Korea,56152
Finland,Italy,53910
Croatia,Italy,52582
New Zealand,United States,52493
Bulgaria,United States,51848
Turkey,United Kingdom,51762
Ukraine,United States,51211
Iran,Italy,51178
China,India,50994
France,Turkey,48900
Georgia,United States,47928
Malaysia,United States,47669
Mexico,Turkey,47551
Germany,Turkey,46995
Austria,Italy,45417
Ecuador,United States,45263
Serbia,United States,44962
Egypt,Turkey,44943
Belgium,Turkey,44610
Japan,United States,42657
Brazil,India,42012
South Korea,South Korea,41330
Sri Lanka,United States,41263
India,United Kingdom,41121
China,Germany,40437
China,Russian Federation,40270
Colombia,United States,40066
Thailand,United States,39875
Hungary,Turkey,39494
China,South Korea,39128
Italy,Taiwan,38868
Spain,Turkey,38632
Brazil,Russian Federation,38525
Germany,India,38384
France,India,38267
Switzerland,Turkey,38060
Australia,United States,37438
China,United Kingdom,37141
Portugal,United States,35650
India,Mexico,35443
Bulgaria,Italy,35427
Italy,Ukraine,35279
Greece,Turkey,35205
Russian Federation,United Kingdom,34938
Italy,New Zealand,34281
France,Russian Federation,34022
Belgium,India,33956
Cyprus,United States,33508
Mexico,Russian Federation,33481
Italy,Malaysia,33072
Germany,Russian Federation,32824
Georgia,Italy,32555
India,Spain,32546
China,France,32273
Belgium,Russian Federation,32172
China,Spain,31087
Ecuador,Italy,30986
Czech Republic,United States,30897
Italy,Serbia,30876
Egypt,India,30599
Canada,United States,30410
Hungary,India,29620
South Korea,United Kingdom,29442
Spain,United Kingdom,29316
Italy,Sri Lanka,29175
Ireland,United States,29140
India,Switzerland,29115
Poland,Turkey,29002
Germany,South Korea,28945
Brazil,South Korea,28468
Germany,United Kingdom,28285
Hungary,Russian Federation,28186
Iran,Turkey,28128
Russian Federation,Spain,27947
France,South Korea,27849
Colombia,Italy,27215
Egypt,Russian Federation,26880
Russian Federation,Switzerland,26867
Greece,India,26723
Pakistan,United States,26554
Estonia,United States,26474
Germany,Germany,26354
Croatia,Turkey,26348
Finland,Turkey,26301
Armenia,United States,26099
Lithuania,United States,25707
Puerto Rico,United States,25485
Mexico,South Korea,25373
Greece,Russian Federation,25259
Austria,Turkey,24983
Belarus,United States,24961
South Korea,Spain,24667
Belgium,South Korea,24116
Brazil,China,23816
France,United Kingdom,23385
Latvia,United States,23325
France,Germany,23148
Cyprus,Italy,22803
Germany,Spain,22508
India,Poland,21549
Italy,Portugal,21228
Hungary,South Korea,20840
South Korea,Switzerland,20683
Brazil,United Kingdom,20593
Finland,India,20104
Italy,Thailand,19937
Egypt,South Korea,19895
Croatia,India,19807
India,Iran,19790
Poland,Russian Federation,19766
Czech Republic,Italy,19375
Spain,Spain,19174
Finland,Russian Federation,19007
France,Spain,18939
Greece,South Korea,18910
Croatia,Russian Federation,18904
China,Mexico,18843
Mexico,Mexico,18756
France,France,18662
Brazil,Germany,18621
Ireland,Italy,18393
Brazil,France,18372
Estonia,Italy,18151
Belgium,China,18105
Taiwan,Turkey,18015
Qatar,United States,17946
Brazil,Brazil,17866
Italy,Pakistan,17858
Austria,India,17790
Armenia,Italy,17784
Iran,Russian Federation,17637
Bulgaria,Turkey,17534
Turkey,Ukraine,17475
China,Japan,17461
Italy,Lithuania,17386
New Zealand,Turkey,17344
Italy,Puerto Rico,17309
Malaysia,Turkey,17131
Belarus,Italy,17105
Serbia,Turkey,16808
China,Switzerland,16784
Brazil,Mexico,16774
Switzerland,United Kingdom,16630
Germany,Mexico,16542
Australia,Italy,16424
Georgia,Turkey,16299
Belgium,United Kingdom,16241
Italy,Latvia,16222
Sri Lanka,Turkey,16152
Mexico,United Kingdom,16070
Belgium,Brazil,15911
Austria,Russian Federation,15828
Brazil,Spain,15696
Ecuador,Turkey,15562
France,Mexico,15561
China,Egypt,15522
Poland,South Korea,15220
India,Taiwan,15110
Belgium,France,14838
Belgium,Germany,14708
China,Hungary,14622
Brazil,Egypt,14342
China,Taiwan,14314
Finland,South Korea,14298
Colombia,Turkey,14110
Belgium,Mexico,14051
China,Greece,13993
Croatia,South Korea,13899
Brazil,Hungary,13871
Brazil,Switzerland,13765
Egypt,United Kingdom,13705
Germany,Switzerland,13629
Mexico,Spain,13540
Iran,South Korea,13309
France,Switzerland,13236
India,New Zealand,13236
China,Poland,13216
Bulgaria,India,13196
Russian Federation,Taiwan,13177
India,Ukraine,13173
Montenegro,United States,13033
Italy,Qatar,12988
Japan,Japan,12908
Italy,Japan,12813
Greece,United Kingdom,12800
Hungary,United Kingdom,12776
Belgium,Spain,12775
Brazil,Greece,12747
New Zealand,Russian Federation,12681
Bulgaria,Russian Federation,12595
Russian Federation,Ukraine,12592
India,Malaysia,12509
Cyprus,Turkey,12469
France,Hungary,12366
Egypt,France,12215
Georgia,India,12200
Hungary,Mexico,12187
Austria,South Korea,12181
Spain,Switzerland,12000
Georgia,Russian Federation,11955
Germany,Hungary,11943
Poland,United Kingdom,11922
Mexico,Switzerland,11848
India,Serbia,11825
Belgium,Hungary,11818
Ecuador,India,11761
Egypt,Germany,11758
France,Greece,11752
Netherlands,United States,11732
Austria,China,11729
India,Sri Lanka,11690
Germany,Greece,11685
Belgium,Switzerland,11661
Egypt,Mexico,11569
Malaysia,Russian Federation,11468
South Korea,Taiwan,11422
Germany,Japan,11305
Japan,United Kingdom,11282
China,Finland,11277
